months_as_customer,age,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_hobbies,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,fraud_reported
86,26,500,1382.88,7000000,MALE,cross-fit,0,-30300,Single Vehicle Collision,Rear Collision,Minor Damage,Police,11,1,missing,1,1,YES,81840,Y
296,46,1000,1141.35,7000000,MALE,sleeping,0,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,18,1,missing,0,2,NO,54900,N
125,35,500,1054.83,7000000,MALE,cross-fit,0,-51300,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,YES,2,3,NO,88660,Y
177,34,2000,1057.77,0,FEMALE,bungie-jumping,0,-57700,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,22,3,missing,1,1,NO,18000,N
238,39,2000,1488.02,0,FEMALE,exercise,0,-39200,Vehicle Theft,missing,Minor Damage,Police,9,1,YES,1,3,YES,5500,N
81,25,500,920.3,5000000,FEMALE,hiking,51000,-67900,Multi-vehicle Collision,Rear Collision,Major Damage,Other,11,3,missing,1,0,missing,73920,Y
128,28,1000,986.53,0,FEMALE,polo,62700,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,11,1,NO,0,2,YES,101860,N
449,57,2000,1440.68,0,MALE,movies,25000,0,Parked Car,missing,Minor Damage,None,8,1,YES,0,1,YES,5390,N
252,39,1000,1086.21,0,MALE,hiking,68500,-57500,Single Vehicle Collision,Side Collision,Minor Damage,Police,18,1,missing,1,2,missing,50490,N
359,47,2000,1367.68,0,FEMALE,basketball,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,13,1,NO,0,3,NO,55500,N
19,32,1000,1215.85,0,MALE,hiking,42900,-90200,Vehicle Theft,missing,Minor Damage,Police,8,1,YES,1,1,YES,7040,N
73,26,2000,1191.19,4000000,MALE,basketball,29300,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,9,3,missing,0,1,YES,40160,N
285,44,1000,1594.45,0,MALE,bungie-jumping,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,2,YES,2,3,NO,55680,N
196,36,2000,1463.07,0,MALE,skydiving,0,0,Vehicle Theft,missing,Trivial Damage,Police,3,1,missing,1,1,NO,5300,Y
223,43,500,1734.09,0,FEMALE,camping,0,0,Parked Car,missing,Trivial Damage,None,6,1,YES,0,3,missing,5200,N
328,48,500,1411.43,0,MALE,bungie-jumping,45100,-32800,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,17,1,YES,2,1,NO,59400,N
285,43,2000,1512.58,0,FEMALE,paintball,47600,0,Vehicle Theft,missing,Minor Damage,Police,7,1,missing,1,1,missing,2520,N
30,31,2000,1153.35,0,MALE,golf,0,0,Vehicle Theft,missing,Trivial Damage,Police,9,1,NO,2,1,YES,5760,N
342,49,500,1722.95,0,MALE,base-jumping,63100,-13800,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,3,1,missing,2,0,YES,76700,N
219,39,2000,1281.07,7000000,FEMALE,board-games,0,0,Parked Car,missing,Trivial Damage,Police,6,1,NO,0,2,NO,5920,N
468,62,500,1011.92,0,MALE,paintball,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,7,3,YES,0,3,missing,64350,N
241,39,2000,1042.26,0,MALE,kayaking,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,NO,1,2,missing,19080,N
223,43,500,1235.1,0,FEMALE,exercise,66400,-34400,Single Vehicle Collision,Rear Collision,Minor Damage,Police,14,1,NO,2,1,NO,54400,N
128,32,2000,768.91,0,FEMALE,chess,0,-39300,Single Vehicle Collision,Rear Collision,Total Loss,Fire,0,1,missing,1,0,NO,59800,Y
124,29,500,1301.72,0,MALE,golf,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,14,3,missing,0,3,YES,72000,N
343,48,500,1451.54,3000000,MALE,hiking,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,13,4,NO,2,3,NO,65070,N
404,53,500,767.14,0,MALE,reading,25500,-36700,Parked Car,missing,Trivial Damage,Police,8,1,NO,0,1,NO,8800,N
63,24,2000,1620.89,0,FEMALE,movies,0,0,Vehicle Theft,missing,Minor Damage,Police,7,1,NO,2,0,NO,6120,N
210,37,2000,1048.46,0,MALE,skydiving,59900,0,Vehicle Theft,missing,Trivial Damage,None,9,1,missing,1,2,missing,7080,N
335,50,1000,1538.26,6000000,MALE,yachting,62200,-31400,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,12,3,YES,2,3,YES,34320,N
11,40,2000,1217.69,0,FEMALE,reading,24000,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,6,3,missing,1,0,missing,53460,Y
142,33,2000,1362.64,5000000,FEMALE,cross-fit,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,11,1,YES,1,3,missing,81360,Y
272,43,1000,1279.13,0,MALE,bungie-jumping,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,5,3,missing,1,2,YES,81070,Y
69,26,2000,924.72,0,FEMALE,base-jumping,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,14,1,NO,2,2,NO,63120,N
38,28,1000,1019.44,0,MALE,yachting,0,-39700,Vehicle Theft,missing,Trivial Damage,None,17,1,missing,2,1,NO,7200,N
328,46,500,1314.6,0,FEMALE,exercise,24800,0,Single Vehicle Collision,Rear Collision,Total Loss,Other,0,1,missing,2,3,missing,70290,Y
281,43,1000,1515.18,6000000,MALE,camping,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,21,3,NO,1,0,NO,60190,N
246,44,2000,1649.18,0,MALE,base-jumping,0,-58600,Single Vehicle Collision,Front Collision,Major Damage,Other,18,1,YES,1,2,YES,61380,Y
298,49,500,1451.01,0,FEMALE,exercise,47800,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,17,1,NO,2,2,NO,28100,N
330,50,1000,978.46,0,FEMALE,yachting,0,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,19,1,YES,0,0,NO,49060,N
362,50,500,1198.34,4000000,MALE,board-games,53000,-72500,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,3,missing,1,1,NO,57060,N
241,38,2000,1003.23,0,FEMALE,kayaking,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,23,3,missing,0,3,YES,77880,N
245,41,2000,1212.0,0,MALE,basketball,24400,-60500,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,4,1,YES,0,1,YES,73500,N
371,52,1000,1242.96,7000000,FEMALE,paintball,0,-37100,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,2,2,YES,2,0,missing,88920,N
343,52,1000,1053.02,0,FEMALE,bungie-jumping,0,0,Single Vehicle Collision,Front Collision,Major Damage,Other,2,1,missing,0,2,NO,47630,Y
377,53,500,1693.63,0,FEMALE,kayaking,0,-64000,Multi-vehicle Collision,Front Collision,Total Loss,Fire,10,3,YES,1,3,NO,59040,N
154,37,1000,2047.59,0,FEMALE,dancing,0,-67800,Single Vehicle Collision,Rear Collision,Minor Damage,Other,2,1,missing,0,3,NO,79530,N
166,34,1000,1083.72,0,FEMALE,base-jumping,65600,-68200,Single Vehicle Collision,Side Collision,Total Loss,Other,18,1,NO,0,2,YES,53680,N
298,46,1000,1138.42,6000000,MALE,dancing,36900,-55000,Single Vehicle Collision,Side Collision,Minor Damage,Police,18,1,NO,2,3,YES,33550,N
235,42,500,1072.62,0,FEMALE,exercise,39900,-60200,Multi-vehicle Collision,Side Collision,Total Loss,Other,7,4,missing,2,1,YES,69100,N
172,35,2000,1219.04,0,MALE,paintball,63600,-68700,Multi-vehicle Collision,Rear Collision,Major Damage,Police,19,3,missing,2,0,NO,79750,N
27,28,2000,1371.78,0,MALE,polo,0,-32500,Multi-vehicle Collision,Front Collision,Major Damage,Other,10,3,missing,0,2,YES,53600,Y
428,54,2000,1506.21,0,MALE,kayaking,0,-24400,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,16,3,NO,1,0,missing,76560,N
99,32,1000,1058.21,3000000,MALE,golf,0,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,YES,1,1,NO,41130,N
107,26,2000,932.14,0,MALE,cross-fit,40600,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,2,3,NO,2,3,NO,78650,Y
272,41,2000,1608.34,0,FEMALE,reading,33300,-10600,Single Vehicle Collision,Side Collision,Major Damage,Other,19,1,missing,1,1,missing,71060,N
151,37,1000,1728.56,0,FEMALE,dancing,54000,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,0,1,YES,1,1,missing,38830,N
249,43,1000,1518.46,0,FEMALE,cross-fit,0,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,16,1,missing,0,0,YES,53500,N
177,38,2000,1540.19,0,FEMALE,skydiving,0,-74500,Single Vehicle Collision,Front Collision,Major Damage,Other,20,1,YES,2,0,NO,73700,Y
190,40,2000,965.21,0,FEMALE,camping,36900,-53700,Parked Car,missing,Trivial Damage,None,10,1,missing,2,1,YES,6300,N
174,36,2000,1278.75,0,FEMALE,paintball,53200,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,missing,2,2,NO,65400,N
95,28,1000,773.99,0,MALE,board-games,0,-70300,Vehicle Theft,missing,Trivial Damage,None,3,1,YES,1,2,NO,3200,N
371,51,1000,1532.47,0,FEMALE,golf,60300,-24700,Single Vehicle Collision,Rear Collision,Major Damage,Fire,7,1,YES,0,3,YES,75400,Y
2,28,1000,1340.56,0,FEMALE,golf,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,19,1,YES,0,2,YES,58140,N
269,44,500,1297.75,4000000,FEMALE,chess,0,-41400,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,15,3,missing,0,1,missing,98670,Y
101,27,1000,433.33,0,MALE,golf,25900,0,Parked Car,missing,Minor Damage,None,7,1,missing,0,3,NO,5900,N
94,30,2000,1025.54,0,FEMALE,paintball,0,-52600,Single Vehicle Collision,Rear Collision,Major Damage,Fire,19,1,missing,1,3,YES,64100,N
117,28,500,1264.77,0,FEMALE,yachting,47500,-32500,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,13,2,YES,0,1,missing,55440,Y
111,27,500,1459.97,5000000,MALE,yachting,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,2,3,NO,1,2,NO,80850,Y
242,40,500,1238.65,0,FEMALE,bungie-jumping,0,-44600,Vehicle Theft,missing,Trivial Damage,Police,5,1,YES,1,1,NO,7480,N
440,61,500,1050.76,0,MALE,movies,41500,-70200,Single Vehicle Collision,Side Collision,Major Damage,Fire,21,1,missing,2,3,NO,53640,Y
20,23,1000,1711.72,0,FEMALE,base-jumping,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,21,3,NO,2,2,NO,63250,Y
461,57,500,865.33,7000000,FEMALE,golf,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,7,3,NO,0,1,missing,59040,N
208,36,500,1153.49,0,MALE,base-jumping,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,16,3,YES,1,0,YES,50500,N
279,43,2000,1281.25,0,MALE,cross-fit,0,0,Single Vehicle Collision,Side Collision,Major Damage,Police,13,1,YES,0,1,NO,57690,Y
244,40,500,1342.8,0,FEMALE,base-jumping,0,0,Vehicle Theft,missing,Trivial Damage,Police,2,1,YES,1,3,YES,5940,N
134,30,2000,1443.32,0,FEMALE,dancing,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,19,3,missing,0,2,YES,47790,Y
122,29,1000,1629.94,0,FEMALE,skydiving,0,-47100,Parked Car,missing,Trivial Damage,None,17,1,missing,0,1,NO,3850,N
156,31,2000,1134.08,0,MALE,reading,0,0,Single Vehicle Collision,Front Collision,Major Damage,Police,3,1,missing,2,0,missing,59000,Y
232,43,500,1483.91,8000000,MALE,golf,0,-33600,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,17,3,NO,0,1,missing,70600,Y
244,40,2000,1304.67,7000000,MALE,base-jumping,0,-45000,Multi-vehicle Collision,Side Collision,Minor Damage,Police,5,3,missing,1,1,missing,61490,N
84,30,2000,1035.79,0,FEMALE,kayaking,44400,-51500,Single Vehicle Collision,Side Collision,Minor Damage,Police,9,1,NO,1,0,YES,57640,N
394,57,500,1401.2,0,FEMALE,movies,51500,0,Vehicle Theft,missing,Trivial Damage,Police,9,1,NO,1,0,NO,6890,N
246,45,1000,1665.45,0,MALE,hiking,34400,-33100,Multi-vehicle Collision,Side Collision,Major Damage,Fire,9,3,missing,2,2,missing,53280,Y
35,29,2000,653.66,0,FEMALE,video-games,52100,-46900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,22,3,NO,0,0,missing,78300,N
156,37,500,1080.13,0,MALE,reading,0,-61000,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,15,3,YES,0,3,NO,41490,N
195,36,2000,1346.18,0,FEMALE,camping,57800,-53300,Multi-vehicle Collision,Front Collision,Total Loss,Fire,14,3,YES,2,3,YES,68970,N
369,55,2000,1589.54,0,MALE,camping,55400,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,6,3,missing,2,0,YES,85300,N
271,40,1000,1251.65,0,FEMALE,camping,71200,0,Parked Car,missing,Minor Damage,None,6,1,NO,0,0,NO,3080,N
332,47,2000,1083.01,0,MALE,paintball,91900,0,Multi-vehicle Collision,Front Collision,Major Damage,Police,22,4,YES,2,0,missing,71760,Y
107,26,500,974.59,0,FEMALE,skydiving,62800,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,14,3,missing,1,0,NO,59700,N
217,39,2000,1399.85,0,FEMALE,skydiving,49900,-19800,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,16,3,NO,0,2,missing,64920,N
243,43,500,1307.74,0,FEMALE,board-games,0,-75700,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,10,3,missing,0,1,NO,37530,N
296,42,2000,1219.27,0,MALE,paintball,53100,-63400,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,9,3,YES,1,2,NO,64080,N
264,41,500,1411.3,0,MALE,cross-fit,55600,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,4,1,NO,1,0,missing,60390,Y
108,33,2000,694.45,0,FEMALE,exercise,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,6,3,missing,0,1,YES,64350,Y
32,38,500,1006.77,6000000,FEMALE,sleeping,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,15,3,YES,2,1,YES,70900,N
259,39,1000,1422.36,0,FEMALE,movies,0,-83900,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,12,3,NO,1,3,missing,46560,N
186,33,1000,1348.32,0,FEMALE,cross-fit,37600,-37600,Vehicle Theft,missing,Trivial Damage,Police,3,1,NO,2,1,missing,4730,Y
201,40,2000,1315.56,0,FEMALE,video-games,0,0,Vehicle Theft,missing,Minor Damage,Police,14,1,YES,0,0,YES,6820,N
436,58,2000,1407.01,5000000,MALE,sleeping,47400,-27600,Single Vehicle Collision,Rear Collision,Major Damage,Police,10,1,missing,0,2,missing,59900,Y
189,36,2000,1388.58,0,FEMALE,basketball,0,-49400,Multi-vehicle Collision,Side Collision,Major Damage,Police,17,3,missing,1,3,YES,79560,N
105,33,500,1310.76,0,FEMALE,kayaking,0,-40900,Single Vehicle Collision,Front Collision,Total Loss,Other,8,1,YES,0,1,missing,70290,N
163,31,1000,1004.63,6000000,MALE,hiking,26900,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,14,3,YES,2,0,NO,63910,N
219,40,500,1134.91,0,FEMALE,golf,68700,0,Vehicle Theft,missing,Trivial Damage,None,6,1,missing,1,0,NO,6400,N
88,25,1000,1194.0,0,FEMALE,movies,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,6,1,YES,1,2,YES,66780,Y
40,39,1000,1248.25,4000000,FEMALE,hiking,0,-33300,Parked Car,missing,Minor Damage,Police,8,1,NO,0,2,missing,8760,N
59,40,2000,782.23,0,MALE,golf,64200,-32300,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,0,3,missing,0,2,NO,51570,N
39,31,2000,1366.9,0,FEMALE,polo,0,-15700,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,14,3,missing,1,0,NO,52700,Y
147,34,1000,1275.81,0,MALE,dancing,0,-48300,Single Vehicle Collision,Side Collision,Minor Damage,Fire,13,1,YES,2,2,missing,101010,N
156,37,500,1090.65,0,MALE,golf,0,-51800,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,16,4,missing,1,2,YES,53400,Y
123,31,500,1326.0,0,FEMALE,basketball,0,-54600,Single Vehicle Collision,Side Collision,Total Loss,Fire,13,1,missing,1,2,NO,72120,N
231,43,2000,972.47,0,MALE,reading,0,-58100,Multi-vehicle Collision,Front Collision,Minor Damage,Police,15,3,YES,2,2,YES,77100,N
247,39,500,806.31,0,FEMALE,dancing,0,0,Parked Car,missing,Trivial Damage,Police,3,1,missing,2,3,missing,3300,N
194,35,500,1416.24,0,FEMALE,golf,0,0,Parked Car,missing,Minor Damage,None,7,1,YES,1,0,missing,5940,N
119,27,2000,1097.64,0,MALE,video-games,27100,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,16,2,NO,1,0,missing,63720,N
259,43,500,947.75,0,FEMALE,base-jumping,0,-39300,Vehicle Theft,missing,Trivial Damage,Police,15,1,NO,1,3,NO,7680,N
107,31,2000,1018.73,5000000,MALE,yachting,20000,-82700,Multi-vehicle Collision,Side Collision,Total Loss,Police,21,3,YES,1,2,missing,93730,N
48,44,2000,1400.74,0,MALE,base-jumping,34000,-55600,Multi-vehicle Collision,Rear Collision,Major Damage,Police,23,3,YES,0,2,missing,87300,N
267,40,500,1155.53,5000000,MALE,camping,0,-35200,Parked Car,missing,Trivial Damage,Police,5,1,missing,0,2,NO,5670,N
286,47,500,1386.93,0,MALE,bungie-jumping,54100,-77600,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,15,3,YES,0,0,NO,65800,N
175,34,500,915.29,0,FEMALE,base-jumping,82400,-57100,Single Vehicle Collision,Front Collision,Major Damage,Other,14,1,missing,2,1,YES,36720,Y
111,29,500,1239.55,2000000,FEMALE,kayaking,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,1,1,missing,1,1,YES,52800,Y
151,37,500,1366.42,0,FEMALE,cross-fit,44000,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,14,3,NO,1,2,YES,59100,Y
156,37,1000,1086.48,6000000,MALE,hiking,0,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Other,17,3,missing,1,1,YES,77440,N
165,36,2000,1247.87,0,MALE,golf,0,-39700,Multi-vehicle Collision,Side Collision,Total Loss,Fire,20,3,NO,2,2,NO,45700,N
253,41,2000,1312.75,0,FEMALE,dancing,81300,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,10,3,NO,2,2,YES,80740,Y
10,26,2000,765.64,0,MALE,base-jumping,0,-22200,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,missing,0,3,missing,31350,Y
158,33,2000,1327.41,0,FEMALE,skydiving,0,-38600,Single Vehicle Collision,Side Collision,Total Loss,Other,0,1,missing,0,0,missing,35000,N
436,59,1000,1338.55,0,MALE,board-games,39000,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,10,3,missing,2,2,NO,68000,N
91,30,2000,1316.63,8000000,FEMALE,golf,43900,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,13,3,YES,2,0,missing,84500,N
256,42,1000,1286.44,0,FEMALE,bungie-jumping,0,-39500,Single Vehicle Collision,Rear Collision,Minor Damage,Police,14,1,NO,2,1,missing,75500,N
274,46,1000,1372.18,0,MALE,bungie-jumping,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,22,3,NO,1,3,missing,90600,N
275,45,2000,1447.77,0,FEMALE,camping,39400,-63900,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,8,3,YES,1,1,missing,64320,N
1,33,500,903.32,0,FEMALE,yachting,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,1,3,missing,1,0,missing,31700,N
85,30,1000,1454.42,0,MALE,reading,51600,-73900,Single Vehicle Collision,Side Collision,Major Damage,Other,19,1,YES,0,1,YES,74280,Y
233,37,2000,1603.42,0,FEMALE,video-games,61600,-30200,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,YES,0,2,YES,80520,N
142,30,2000,1616.58,0,MALE,polo,58500,-46800,Multi-vehicle Collision,Rear Collision,Major Damage,Other,13,3,YES,0,3,YES,63600,N
266,44,500,1611.83,0,MALE,movies,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,4,1,missing,1,2,YES,32800,N
350,50,500,889.13,0,FEMALE,board-games,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,14,3,NO,0,2,NO,44190,N
97,26,1000,1252.08,0,MALE,sleeping,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,4,2,YES,2,2,NO,50400,Y
399,55,2000,995.56,0,MALE,sleeping,0,-65400,Multi-vehicle Collision,Side Collision,Total Loss,Police,23,3,YES,1,1,YES,88400,N
305,49,2000,1347.92,0,FEMALE,bungie-jumping,0,-42100,Multi-vehicle Collision,Front Collision,Total Loss,Fire,21,3,YES,0,2,missing,66550,N
276,47,1000,1724.09,0,MALE,yachting,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,23,3,YES,0,0,missing,65780,N
257,40,500,1379.93,0,MALE,base-jumping,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,6,3,missing,0,2,YES,51810,Y
78,31,1000,1554.64,4000000,MALE,board-games,0,-27900,Single Vehicle Collision,Front Collision,Major Damage,Other,21,1,NO,1,0,NO,55660,Y
129,28,1000,1377.94,0,MALE,base-jumping,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,23,1,missing,2,3,missing,44640,N
283,46,2000,1313.33,0,FEMALE,reading,53500,-73600,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,missing,1,3,NO,77660,Y
85,25,500,1259.02,0,FEMALE,base-jumping,67000,-53600,Parked Car,missing,Trivial Damage,None,8,1,NO,2,2,missing,5640,N
101,26,1000,1371.88,0,FEMALE,reading,0,0,Parked Car,missing,Trivial Damage,None,4,1,missing,2,2,missing,3190,N
96,30,500,1399.27,6000000,MALE,hiking,38900,-48700,Single Vehicle Collision,Side Collision,Total Loss,Fire,22,1,missing,0,0,YES,53440,N
121,31,1000,1061.98,6000000,FEMALE,camping,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,16,1,NO,0,1,YES,65250,N
176,39,500,1365.46,4000000,MALE,sleeping,0,-56600,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,14,3,NO,2,1,NO,44280,N
159,37,1000,894.4,0,MALE,camping,0,-53700,Single Vehicle Collision,Rear Collision,Total Loss,Police,13,1,YES,2,0,NO,70290,N
120,30,500,956.69,0,FEMALE,movies,39600,-64300,Single Vehicle Collision,Front Collision,Minor Damage,Other,20,1,missing,1,1,YES,87100,N
212,35,2000,1123.89,0,MALE,video-games,35400,-49200,Multi-vehicle Collision,Front Collision,Total Loss,Fire,0,3,missing,1,3,missing,50380,N
290,45,500,1085.03,0,FEMALE,cross-fit,0,-61000,Multi-vehicle Collision,Side Collision,Total Loss,Police,23,3,YES,2,2,NO,64800,Y
299,42,2000,1437.33,0,FEMALE,movies,25000,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,13,1,YES,1,3,NO,70400,N
66,26,1000,988.29,0,MALE,skydiving,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,8,1,missing,2,2,YES,57860,Y
334,47,500,1238.89,0,MALE,sleeping,0,0,Vehicle Theft,missing,Minor Damage,None,3,1,missing,0,3,NO,6240,N
216,38,1000,1384.64,5000000,FEMALE,board-games,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,16,1,missing,2,3,NO,66600,Y
86,28,2000,1595.07,0,MALE,hiking,75800,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,19,1,YES,0,2,YES,70920,N
429,56,1000,1127.89,6000000,MALE,skydiving,67400,-43800,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,0,1,YES,2,0,YES,39480,N
257,43,2000,929.7,6000000,FEMALE,base-jumping,46400,-74300,Single Vehicle Collision,Front Collision,Total Loss,Other,12,1,missing,2,2,YES,63240,N
15,34,1000,1829.63,0,MALE,cross-fit,56700,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,21,3,YES,1,0,missing,67650,N
230,39,1000,904.7,7000000,FEMALE,bungie-jumping,68600,-22300,Single Vehicle Collision,Front Collision,Major Damage,Fire,0,1,missing,1,3,NO,74200,Y
250,43,1000,1243.84,0,FEMALE,polo,47900,-73400,Single Vehicle Collision,Side Collision,Minor Damage,Other,22,1,YES,1,3,NO,64900,N
270,44,2000,1030.95,0,FEMALE,paintball,47200,0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,20,3,missing,1,0,NO,35900,Y
65,26,500,1285.03,3000000,FEMALE,camping,0,-41500,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,0,1,NO,1,3,missing,52200,N
475,57,500,1216.56,0,MALE,skydiving,67400,-83200,Single Vehicle Collision,Front Collision,Minor Damage,Police,20,1,missing,0,2,NO,78000,N
77,27,2000,966.26,0,FEMALE,base-jumping,56400,-32800,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,1,3,YES,0,0,missing,67200,N
256,43,500,1203.17,0,FEMALE,golf,56700,-65600,Single Vehicle Collision,Rear Collision,Total Loss,Fire,11,1,NO,0,0,missing,63250,N
229,37,2000,1212.12,0,FEMALE,paintball,65600,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,14,3,YES,1,1,YES,68760,N
110,28,1000,1573.93,0,MALE,movies,30400,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,20,3,YES,0,2,missing,65040,N
177,33,1000,1609.67,0,MALE,yachting,0,-13200,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,22,1,missing,1,3,missing,82800,Y
292,44,500,1097.57,0,MALE,basketball,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,12,1,NO,1,0,YES,61700,N
451,61,2000,1618.65,2000000,FEMALE,polo,0,-42600,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,3,3,YES,2,1,YES,78100,Y
61,24,500,922.67,0,FEMALE,paintball,47400,0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,15,3,YES,2,1,missing,65520,Y
150,30,1000,1342.02,0,MALE,polo,0,0,Parked Car,missing,Trivial Damage,None,8,1,YES,0,2,NO,4500,N
283,41,500,1195.01,0,FEMALE,reading,60700,-54300,Multi-vehicle Collision,Side Collision,Major Damage,Other,13,3,NO,0,2,missing,42700,Y
291,46,1000,994.74,0,FEMALE,polo,0,-55300,Parked Car,missing,Minor Damage,Police,8,1,NO,2,2,YES,5580,Y
162,31,1000,1050.24,0,FEMALE,chess,30700,0,Parked Car,missing,Minor Damage,None,7,1,missing,0,0,NO,3600,Y
154,36,2000,1313.51,7000000,FEMALE,dancing,68500,0,Vehicle Theft,missing,Trivial Damage,None,9,1,missing,2,0,missing,2800,N
289,47,2000,1102.29,0,FEMALE,hiking,73000,-37900,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,15,1,NO,1,0,YES,54000,N
