months_as_customer,age,policy_annual_premium,umbrella_limit,insured_sex,insured_hobbies,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,policy_deductable_groups
192,40,1405.99,0,FEMALE,yachting,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,18,3,YES,1,0,YES,42930,501-1000
328,46,1314.6,0,FEMALE,exercise,24800,0,Single Vehicle Collision,Rear Collision,Total Loss,Other,0,1,missing,2,3,missing,70290,0-500
316,45,1290.74,5000000,FEMALE,kayaking,58300,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,6,3,NO,2,0,YES,78870,1501-2000
394,57,1401.2,0,FEMALE,movies,51500,0,Vehicle Theft,missing,Trivial Damage,Police,9,1,NO,1,0,NO,6890,0-500
140,36,1363.59,0,FEMALE,kayaking,43200,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,10,3,missing,2,0,YES,79500,0-500
261,42,1337.56,0,FEMALE,video-games,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,18,1,missing,1,2,YES,74700,0-500
61,23,1111.72,0,MALE,bungie-jumping,54600,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,6,1,missing,1,2,missing,41850,0-500
245,40,1361.45,0,MALE,camping,39300,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,12,1,YES,0,2,YES,82170,501-1000
287,45,1230.69,0,MALE,golf,0,-54600,Single Vehicle Collision,Front Collision,Minor Damage,Fire,19,1,NO,0,2,NO,53800,501-1000
125,35,1054.83,7000000,MALE,cross-fit,0,-51300,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,YES,2,3,NO,88660,0-500
163,31,1004.63,6000000,MALE,hiking,26900,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,14,3,YES,2,0,NO,63910,501-1000
130,28,1003.15,0,FEMALE,movies,0,-38500,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,21,2,YES,2,1,NO,85020,501-1000
175,36,1185.44,0,MALE,kayaking,44900,-52500,Multi-vehicle Collision,Rear Collision,Major Damage,Police,15,3,YES,2,1,YES,42680,0-500
271,44,1340.71,0,FEMALE,base-jumping,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,16,1,NO,2,2,NO,76230,0-500
328,49,1434.51,0,FEMALE,bungie-jumping,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,19,1,missing,0,2,YES,71440,0-500
245,44,1168.2,0,MALE,basketball,69100,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,23,3,NO,0,3,NO,44280,501-1000
15,34,1829.63,0,MALE,cross-fit,56700,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,21,3,YES,1,0,missing,67650,501-1000
250,43,1243.84,0,FEMALE,polo,47900,-73400,Single Vehicle Collision,Side Collision,Minor Damage,Other,22,1,YES,1,3,NO,64900,501-1000
219,43,1114.29,0,FEMALE,polo,51300,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,1,1,missing,2,2,YES,66660,501-1000
209,36,1223.39,0,FEMALE,camping,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,17,3,missing,1,3,missing,65440,1501-2000
182,38,1441.06,0,FEMALE,movies,53800,-78300,Single Vehicle Collision,Side Collision,Total Loss,Police,18,1,missing,2,3,YES,89650,1501-2000
267,46,1111.17,0,MALE,base-jumping,35000,0,Parked Car,missing,Trivial Damage,None,3,1,YES,2,3,YES,4950,1501-2000
160,33,1422.78,0,FEMALE,exercise,61600,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,17,3,missing,2,3,YES,52800,501-1000
129,28,1377.94,0,MALE,base-jumping,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,23,1,missing,2,3,missing,44640,501-1000
147,37,1375.29,0,FEMALE,chess,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,11,3,missing,0,1,missing,56160,1501-2000
93,32,1624.82,0,MALE,basketball,65300,-65600,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,16,1,missing,1,1,missing,78120,1501-2000
26,42,1484.48,0,MALE,sleeping,50700,-36300,Single Vehicle Collision,Side Collision,Major Damage,Police,10,1,NO,2,3,missing,63030,501-1000
366,50,1561.41,0,FEMALE,basketball,21200,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,5,3,YES,1,3,NO,70290,501-1000
335,48,1017.97,0,FEMALE,chess,59900,-34800,Multi-vehicle Collision,Front Collision,Total Loss,Police,21,3,NO,0,0,YES,35860,1501-2000
94,32,1414.74,0,FEMALE,hiking,0,0,Parked Car,missing,Minor Damage,None,19,1,NO,1,3,NO,2400,501-1000
293,49,1239.06,0,FEMALE,skydiving,34900,0,Single Vehicle Collision,Front Collision,Total Loss,Police,19,1,missing,1,1,missing,57310,1501-2000
255,39,1453.95,0,FEMALE,bungie-jumping,38200,0,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,3,YES,0,3,NO,29300,0-500
246,45,1594.37,0,MALE,board-games,0,0,Parked Car,missing,Trivial Damage,None,13,1,NO,0,3,YES,7260,0-500
85,27,1174.14,0,MALE,dancing,50400,-61500,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,14,4,YES,0,0,NO,59070,1501-2000
39,31,1366.9,0,FEMALE,polo,0,-15700,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,14,3,missing,1,0,NO,52700,1501-2000
163,33,1240.47,0,FEMALE,polo,35300,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,11,3,YES,1,1,missing,77110,0-500
264,41,1411.3,0,MALE,cross-fit,55600,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,4,1,NO,1,0,missing,60390,0-500
233,39,1524.18,0,MALE,reading,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,20,3,missing,1,0,YES,48870,1501-2000
79,25,1863.04,0,FEMALE,paintball,53400,-35200,Single Vehicle Collision,Front Collision,Total Loss,Fire,0,1,NO,2,1,missing,67800,0-500
241,38,1003.23,0,FEMALE,kayaking,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,23,3,missing,0,3,YES,77880,1501-2000
342,53,1028.44,0,FEMALE,dancing,0,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,12,1,missing,0,0,NO,80960,501-1000
259,39,1422.36,0,FEMALE,movies,0,-83900,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,12,3,NO,1,3,missing,46560,501-1000
328,48,1406.91,0,MALE,sleeping,53300,0,Single Vehicle Collision,Side Collision,Major Damage,Police,5,1,YES,1,2,YES,71610,501-1000
140,36,979.26,0,FEMALE,cross-fit,0,-67000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,2,4,YES,0,2,YES,72800,1501-2000
321,44,1344.56,6000000,MALE,hiking,0,-39100,Vehicle Theft,missing,Trivial Damage,Police,7,1,missing,1,2,NO,4680,1501-2000
107,31,1239.22,7000000,FEMALE,paintball,43400,-91200,Single Vehicle Collision,Side Collision,Minor Damage,Fire,12,1,YES,0,1,NO,89700,0-500
437,60,1269.64,0,FEMALE,cross-fit,48800,0,Single Vehicle Collision,Front Collision,Minor Damage,Other,10,1,NO,1,3,NO,84480,501-1000
180,33,1005.47,0,FEMALE,hiking,58100,-49000,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,12,4,missing,2,3,YES,57700,1501-2000
116,30,951.46,0,MALE,golf,0,-35500,Multi-vehicle Collision,Front Collision,Major Damage,Other,8,3,NO,0,3,missing,59670,0-500
372,50,1368.57,0,FEMALE,paintball,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,18,3,NO,2,2,YES,51800,1501-2000
209,39,1264.99,0,MALE,polo,67800,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,22,1,missing,1,1,NO,37800,0-500
123,31,1326.0,0,FEMALE,basketball,0,-54600,Single Vehicle Collision,Side Collision,Total Loss,Fire,13,1,missing,1,2,NO,72120,0-500
214,36,987.42,7000000,FEMALE,kayaking,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,17,3,NO,0,3,missing,47080,1501-2000
175,39,1359.36,5000000,MALE,hiking,0,-43600,Multi-vehicle Collision,Front Collision,Major Damage,Other,9,3,YES,2,2,YES,71610,0-500
371,51,1532.47,0,FEMALE,golf,60300,-24700,Single Vehicle Collision,Rear Collision,Major Damage,Fire,7,1,YES,0,3,YES,75400,501-1000
279,43,1281.25,0,MALE,cross-fit,0,0,Single Vehicle Collision,Side Collision,Major Damage,Police,13,1,YES,0,1,NO,57690,1501-2000
278,48,1142.62,7000000,FEMALE,dancing,0,-54000,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,12,1,missing,2,0,missing,76050,1501-2000
78,31,1377.23,0,FEMALE,kayaking,72600,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,1,3,missing,2,1,missing,52290,501-1000
246,44,1397.0,0,MALE,reading,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,6,1,NO,1,0,NO,61740,501-1000
193,40,1155.38,0,FEMALE,movies,34200,-32300,Single Vehicle Collision,Side Collision,Minor Damage,Fire,6,1,NO,0,0,YES,63900,0-500
255,44,814.96,6000000,FEMALE,chess,68500,0,Parked Car,missing,Trivial Damage,Police,7,1,missing,2,2,NO,6400,1501-2000
198,36,1096.39,0,MALE,kayaking,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,11,3,missing,1,3,YES,49410,501-1000
143,32,1464.42,0,FEMALE,golf,79900,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,1,1,missing,2,0,NO,62260,501-1000
269,44,1297.75,4000000,FEMALE,chess,0,-41400,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,15,3,missing,0,1,missing,98670,0-500
93,31,1017.18,0,FEMALE,paintball,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,21,3,YES,1,3,NO,48070,1501-2000
151,37,1728.56,0,FEMALE,dancing,54000,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,0,1,YES,1,1,missing,38830,501-1000
246,44,1649.18,0,MALE,base-jumping,0,-58600,Single Vehicle Collision,Front Collision,Major Damage,Other,18,1,YES,1,2,YES,61380,1501-2000
97,26,1270.55,0,MALE,chess,0,-72100,Multi-vehicle Collision,Side Collision,Total Loss,Other,10,3,YES,2,3,NO,84920,501-1000
207,42,1322.78,0,MALE,yachting,55200,0,Parked Car,missing,Trivial Damage,None,9,1,NO,0,1,NO,5900,1501-2000
390,51,1124.38,0,MALE,reading,0,0,Vehicle Theft,missing,Minor Damage,None,9,1,YES,1,1,YES,7080,1501-2000
46,24,1568.47,4000000,FEMALE,yachting,46800,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,7,1,NO,2,0,missing,56600,1501-2000
229,37,1331.94,0,FEMALE,base-jumping,0,-55400,Single Vehicle Collision,Rear Collision,Total Loss,Other,17,1,NO,0,2,YES,54560,501-1000
270,45,1038.09,0,FEMALE,golf,0,-19700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,18,3,NO,1,1,YES,89400,501-1000
50,44,1188.51,0,MALE,bungie-jumping,0,-65800,Multi-vehicle Collision,Front Collision,Total Loss,Police,15,3,missing,1,2,NO,61100,1501-2000
7,21,1342.72,0,MALE,camping,0,-45300,Single Vehicle Collision,Front Collision,Total Loss,Other,21,1,missing,1,2,missing,62460,501-1000
112,27,965.13,0,FEMALE,exercise,60000,-54800,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,21,3,missing,0,1,missing,51000,0-500
91,26,1022.46,0,FEMALE,video-games,52700,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,15,3,missing,0,2,missing,74200,501-1000
194,34,1429.96,0,FEMALE,board-games,67800,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,11,3,NO,1,2,YES,57200,0-500
11,39,1470.06,0,MALE,yachting,56600,-45800,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,22,1,YES,0,1,NO,65790,1501-2000
40,39,1248.25,4000000,FEMALE,hiking,0,-33300,Parked Car,missing,Minor Damage,Police,8,1,NO,0,2,missing,8760,501-1000
2,28,1340.56,0,FEMALE,golf,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,19,1,YES,0,2,YES,58140,501-1000
162,31,1050.24,0,FEMALE,chess,30700,0,Parked Car,missing,Minor Damage,None,7,1,missing,0,0,NO,3600,501-1000
133,34,1074.07,0,FEMALE,bungie-jumping,70900,-61100,Parked Car,missing,Minor Damage,None,8,1,NO,2,0,YES,4200,0-500
79,26,1451.62,0,MALE,kayaking,0,-55700,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,19,1,NO,2,2,missing,40000,0-500
41,25,1226.83,0,FEMALE,exercise,0,-56100,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,3,YES,2,0,missing,45120,501-1000
359,47,1367.68,0,FEMALE,basketball,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,13,1,NO,0,3,NO,55500,1501-2000
297,48,1538.6,0,FEMALE,kayaking,0,-54700,Single Vehicle Collision,Side Collision,Minor Damage,Fire,12,1,missing,0,0,missing,60600,501-1000
128,30,1061.33,0,MALE,movies,43300,-66200,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,8,1,NO,0,3,NO,68530,501-1000
257,44,1280.88,0,MALE,basketball,59400,-32200,Single Vehicle Collision,Rear Collision,Total Loss,Other,21,1,NO,0,1,NO,46980,501-1000
140,31,1554.86,6000000,FEMALE,base-jumping,59000,0,Parked Car,missing,Minor Damage,None,2,1,YES,1,2,missing,6120,1501-2000
124,32,1198.15,0,FEMALE,hiking,0,-43200,Multi-vehicle Collision,Front Collision,Total Loss,Other,19,3,NO,0,2,YES,73560,501-1000
126,33,1141.71,2000000,FEMALE,sleeping,36700,-73400,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,21,1,YES,1,2,missing,54160,501-1000
295,46,1265.84,0,FEMALE,paintball,52200,-44500,Vehicle Theft,missing,Minor Damage,None,10,1,YES,1,3,YES,4560,0-500
164,38,1269.76,0,FEMALE,yachting,44300,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,4,1,NO,1,3,YES,90000,1501-2000
51,34,1430.8,0,MALE,camping,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,23,1,missing,2,3,NO,64200,0-500
55,35,1198.44,8000000,MALE,polo,0,0,Vehicle Theft,missing,Minor Damage,Police,9,1,NO,0,3,NO,3080,0-500
84,32,1694.09,7000000,FEMALE,cross-fit,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Other,0,1,YES,0,2,missing,57240,0-500
270,44,1030.95,0,FEMALE,paintball,47200,0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,20,3,missing,1,0,NO,35900,1501-2000
381,55,1459.99,0,FEMALE,chess,35900,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,8,1,YES,1,2,YES,60600,0-500
102,28,1075.41,0,MALE,reading,55200,0,Single Vehicle Collision,Side Collision,Total Loss,Police,6,1,NO,1,0,NO,73400,0-500
168,39,1389.59,0,FEMALE,exercise,0,-42600,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,23,3,YES,1,3,NO,41580,501-1000
123,34,1270.21,0,FEMALE,sleeping,16100,-61200,Multi-vehicle Collision,Side Collision,Total Loss,Fire,13,3,NO,1,1,missing,55260,1501-2000
70,27,1008.79,4000000,FEMALE,video-games,46000,0,Vehicle Theft,missing,Trivial Damage,Police,19,1,NO,2,3,missing,4400,501-1000
180,38,1301.13,0,FEMALE,board-games,41300,-55500,Single Vehicle Collision,Rear Collision,Total Loss,Police,12,1,NO,0,2,YES,46200,1501-2000
72,29,973.8,0,FEMALE,exercise,0,-85900,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,9,1,missing,1,0,NO,66200,0-500
78,29,1234.2,6000000,MALE,bungie-jumping,0,0,Vehicle Theft,missing,Minor Damage,Police,3,1,YES,2,2,NO,7500,501-1000
298,49,862.92,0,MALE,camping,0,-71700,Multi-vehicle Collision,Side Collision,Major Damage,Other,16,3,NO,0,2,NO,69480,0-500
34,24,1550.53,0,FEMALE,dancing,0,-27700,Parked Car,missing,Trivial Damage,None,20,1,YES,0,1,missing,3960,1501-2000
70,28,1319.81,0,MALE,yachting,67200,-59400,Multi-vehicle Collision,Side Collision,Minor Damage,Police,14,4,NO,1,0,YES,31680,501-1000
204,40,1693.83,7000000,MALE,polo,44000,-20800,Single Vehicle Collision,Front Collision,Minor Damage,Police,6,1,missing,1,0,missing,53400,501-1000
31,36,1318.24,9000000,FEMALE,kayaking,0,-78600,Parked Car,missing,Trivial Damage,None,9,1,NO,0,1,YES,4700,1501-2000
291,46,994.74,0,FEMALE,polo,0,-55300,Parked Car,missing,Minor Damage,Police,8,1,NO,2,2,YES,5580,501-1000
107,26,974.59,0,FEMALE,skydiving,62800,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,14,3,missing,1,0,NO,59700,0-500
73,29,1447.78,0,MALE,board-games,35100,-59900,Multi-vehicle Collision,Rear Collision,Total Loss,Other,15,3,YES,1,0,missing,44910,501-1000
364,51,1268.35,0,MALE,board-games,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Other,16,1,YES,2,1,NO,77330,0-500
165,33,1427.14,0,FEMALE,kayaking,35300,-58100,Parked Car,missing,Minor Damage,Police,3,1,NO,1,1,NO,2970,501-1000
65,29,1441.6,5000000,FEMALE,kayaking,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,21,3,YES,0,0,missing,62900,1501-2000
242,41,1153.54,6000000,MALE,polo,0,-57000,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,3,3,NO,0,1,missing,68090,1501-2000
129,30,927.23,0,FEMALE,video-games,51500,0,Single Vehicle Collision,Front Collision,Total Loss,Other,7,1,NO,1,3,missing,74360,1501-2000
265,40,1454.43,0,FEMALE,yachting,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,17,3,NO,2,3,missing,55120,501-1000
272,41,945.73,5000000,MALE,chess,38600,-42800,Single Vehicle Collision,Front Collision,Minor Damage,Fire,23,1,NO,0,0,NO,84100,1501-2000
43,43,1320.39,0,FEMALE,yachting,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,16,1,missing,2,1,missing,79970,0-500
208,41,1134.68,0,FEMALE,chess,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,18,1,NO,2,2,missing,69300,501-1000
109,29,1007.28,6000000,FEMALE,movies,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,17,3,NO,1,3,YES,91080,1501-2000
189,39,838.02,0,FEMALE,movies,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,7,3,missing,2,0,YES,64400,1501-2000
447,61,1137.16,0,FEMALE,skydiving,0,-51000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,21,3,YES,1,2,YES,114920,1501-2000
142,33,1362.64,5000000,FEMALE,cross-fit,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,11,1,YES,1,3,missing,81360,1501-2000
86,28,1595.07,0,MALE,hiking,75800,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,19,1,YES,0,2,YES,70920,1501-2000
85,31,1234.69,9000000,FEMALE,paintball,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Other,1,2,NO,2,1,missing,74400,1501-2000
437,58,1192.04,0,MALE,dancing,66100,-31400,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,23,1,YES,0,0,NO,55800,1501-2000
209,38,1355.08,0,FEMALE,golf,58100,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,21,1,missing,1,1,missing,47300,0-500
259,43,947.75,0,FEMALE,base-jumping,0,-39300,Vehicle Theft,missing,Trivial Damage,Police,15,1,NO,1,3,NO,7680,0-500
436,58,1407.01,5000000,MALE,sleeping,47400,-27600,Single Vehicle Collision,Rear Collision,Major Damage,Police,10,1,missing,0,2,missing,59900,1501-2000
258,41,1042.25,0,MALE,reading,0,-44400,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,0,3,NO,2,3,NO,81240,0-500
56,29,1523.17,0,MALE,movies,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,10,3,missing,1,2,YES,94560,501-1000
200,34,828.42,3000000,FEMALE,basketball,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,10,1,missing,2,2,NO,56000,501-1000
297,47,1616.65,7000000,MALE,movies,0,-59500,Multi-vehicle Collision,Side Collision,Total Loss,Fire,0,3,missing,0,3,YES,44400,0-500
100,33,1124.59,6000000,MALE,golf,67300,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,4,1,NO,1,2,NO,40800,0-500
133,30,1231.01,0,MALE,board-games,0,-31700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,NO,1,2,missing,28440,501-1000
293,45,1119.23,0,FEMALE,exercise,51500,0,Multi-vehicle Collision,Front Collision,Total Loss,Fire,13,3,NO,1,1,NO,51210,501-1000
8,31,1229.16,4000000,FEMALE,kayaking,0,-88300,Multi-vehicle Collision,Front Collision,Major Damage,Fire,2,3,missing,0,2,YES,48100,0-500
143,34,1442.27,0,MALE,exercise,67900,0,Single Vehicle Collision,Front Collision,Minor Damage,Other,10,1,missing,2,3,YES,58500,0-500
204,38,1124.47,0,FEMALE,kayaking,0,-45100,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,5,1,NO,0,1,missing,90530,1501-2000
371,52,1242.96,7000000,FEMALE,paintball,0,-37100,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,2,2,YES,2,0,missing,88920,501-1000
111,29,1239.55,2000000,FEMALE,kayaking,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,1,1,missing,1,1,YES,52800,0-500
166,37,1337.28,8000000,MALE,reading,27500,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,10,3,NO,2,2,missing,67140,1501-2000
182,40,1022.42,0,MALE,skydiving,50000,-56900,Single Vehicle Collision,Front Collision,Total Loss,Other,13,1,YES,0,2,missing,71100,501-1000
439,56,1280.9,0,MALE,video-games,48900,-40900,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,9,1,NO,2,0,missing,50000,0-500
56,36,1533.07,0,MALE,exercise,0,-28800,Single Vehicle Collision,Rear Collision,Major Damage,Police,13,1,YES,1,2,YES,58500,0-500
105,33,1310.76,0,FEMALE,kayaking,0,-40900,Single Vehicle Collision,Front Collision,Total Loss,Other,8,1,YES,0,1,missing,70290,0-500
279,45,1333.97,6000000,FEMALE,bungie-jumping,61100,-30700,Multi-vehicle Collision,Rear Collision,Major Damage,Other,21,3,missing,1,0,missing,61050,1501-2000
222,40,1226.78,0,MALE,camping,49600,-49200,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,17,2,YES,2,0,missing,81500,501-1000
259,45,1175.07,0,MALE,movies,30100,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,23,1,missing,1,1,NO,87780,1501-2000
257,43,974.84,0,FEMALE,kayaking,52100,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,0,1,NO,0,1,YES,85320,501-1000
107,31,1374.22,0,FEMALE,bungie-jumping,62000,-63100,Single Vehicle Collision,Rear Collision,Minor Damage,Police,16,1,NO,0,3,NO,51260,1501-2000
144,37,1896.91,0,FEMALE,sleeping,73700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,17,3,YES,1,3,NO,54400,1501-2000
127,31,1255.02,0,MALE,reading,58200,0,Parked Car,missing,Minor Damage,None,10,1,YES,1,0,NO,6160,0-500
278,47,1285.01,0,MALE,sleeping,0,-39800,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,21,1,NO,2,2,YES,58500,0-500
80,25,1075.18,5000000,FEMALE,exercise,67700,-58400,Vehicle Theft,missing,Minor Damage,None,5,1,NO,2,0,YES,6930,1501-2000
156,31,1134.08,0,MALE,reading,0,0,Single Vehicle Collision,Front Collision,Major Damage,Police,3,1,missing,2,0,missing,59000,1501-2000
140,35,1520.78,0,FEMALE,chess,0,-42900,Parked Car,missing,Trivial Damage,None,5,1,missing,0,2,YES,2860,501-1000
322,44,1156.19,0,FEMALE,cross-fit,49900,-62700,Multi-vehicle Collision,Side Collision,Major Damage,Fire,20,3,YES,0,3,missing,49400,501-1000
102,32,1537.07,3000000,MALE,chess,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,11,1,NO,1,0,NO,47400,0-500
246,39,1416.08,0,FEMALE,yachting,0,-36600,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,16,1,YES,0,3,missing,45180,501-1000
279,41,1497.35,0,FEMALE,bungie-jumping,37300,-31700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,16,3,missing,2,3,NO,28800,0-500
119,32,993.51,0,MALE,bungie-jumping,0,-49500,Single Vehicle Collision,Side Collision,Minor Damage,Other,12,1,NO,0,3,YES,56300,501-1000
241,39,1042.26,0,MALE,kayaking,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,NO,1,2,missing,19080,1501-2000
270,41,817.28,0,MALE,cross-fit,62200,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,17,3,missing,1,1,NO,60190,501-1000
190,35,1484.72,5000000,FEMALE,golf,0,0,Parked Car,missing,Trivial Damage,None,4,1,NO,0,1,NO,3840,0-500
296,46,1141.35,7000000,MALE,sleeping,0,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,18,1,missing,0,2,NO,54900,501-1000
276,45,948.1,0,FEMALE,reading,44500,-61400,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,11,3,missing,0,2,missing,69300,0-500
9,24,1304.46,0,FEMALE,golf,51700,-33300,Vehicle Theft,missing,Trivial Damage,None,6,1,NO,0,3,YES,5940,1501-2000
61,23,1136.83,4000000,FEMALE,exercise,0,-62400,Single Vehicle Collision,Side Collision,Major Damage,Police,14,1,NO,0,3,missing,98340,1501-2000
108,31,1112.04,6000000,FEMALE,base-jumping,52800,-54300,Parked Car,missing,Minor Damage,None,5,1,NO,1,3,NO,4290,1501-2000
98,26,1082.1,0,MALE,kayaking,0,-30900,Multi-vehicle Collision,Front Collision,Total Loss,Police,13,2,missing,0,1,YES,65430,1501-2000
186,38,1218.56,0,FEMALE,video-games,39300,-60300,Multi-vehicle Collision,Front Collision,Total Loss,Police,23,3,YES,2,2,missing,68760,1501-2000
153,34,991.39,0,MALE,paintball,45600,-61400,Multi-vehicle Collision,Side Collision,Total Loss,Other,0,3,missing,1,0,NO,77770,0-500
114,30,1173.25,0,FEMALE,dancing,0,-34700,Vehicle Theft,missing,Minor Damage,None,3,1,NO,0,3,YES,4680,501-1000
247,44,1101.51,0,FEMALE,camping,64000,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,22,3,NO,2,2,NO,69480,1501-2000
257,43,929.7,6000000,FEMALE,base-jumping,46400,-74300,Single Vehicle Collision,Front Collision,Total Loss,Other,12,1,missing,2,2,YES,63240,1501-2000
20,21,1390.29,0,FEMALE,polo,0,-41200,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,14,1,NO,0,0,missing,62900,501-1000
212,40,1524.45,0,FEMALE,golf,73200,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,17,3,YES,0,2,YES,82400,501-1000
241,45,1104.5,0,FEMALE,basketball,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,5,1,NO,2,2,NO,91650,1501-2000
195,39,1393.57,0,MALE,movies,47600,-39600,Parked Car,missing,Minor Damage,Police,5,1,NO,0,1,YES,2640,501-1000
