months_as_customer,umbrella_limit,insured_sex,insured_hobbies,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,policy_deductable_groups,age_groups,policy_annual_premium_groups
328,0,FEMALE,exercise,24800,0,Single Vehicle Collision,Rear Collision,Total Loss,Other,0,1,missing,2,3,missing,70290,0-500,46-50,medium
316,5000000,FEMALE,kayaking,58300,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,6,3,NO,2,0,YES,78870,1501-2000,41-45,medium
394,0,FEMALE,movies,51500,0,Vehicle Theft,missing,Trivial Damage,Police,9,1,NO,1,0,NO,6890,0-500,56-60,medium
140,0,FEMALE,kayaking,43200,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,10,3,missing,2,0,YES,79500,0-500,36-40,medium
261,0,FEMALE,video-games,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,18,1,missing,1,2,YES,74700,0-500,41-45,medium
61,0,MALE,bungie-jumping,54600,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,6,1,missing,1,2,missing,41850,0-500,21-25,medium
245,0,MALE,camping,39300,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,12,1,YES,0,2,YES,82170,501-1000,36-40,medium
287,0,MALE,golf,0,-54600,Single Vehicle Collision,Front Collision,Minor Damage,Fire,19,1,NO,0,2,NO,53800,501-1000,41-45,medium
125,7000000,MALE,cross-fit,0,-51300,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,YES,2,3,NO,88660,0-500,31-35,medium
163,6000000,MALE,hiking,26900,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,14,3,YES,2,0,NO,63910,501-1000,31-35,medium
130,0,FEMALE,movies,0,-38500,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,21,2,YES,2,1,NO,85020,501-1000,26-30,medium
175,0,MALE,kayaking,44900,-52500,Multi-vehicle Collision,Rear Collision,Major Damage,Police,15,3,YES,2,1,YES,42680,0-500,36-40,medium
271,0,FEMALE,base-jumping,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,16,1,NO,2,2,NO,76230,0-500,41-45,medium
328,0,FEMALE,bungie-jumping,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,19,1,missing,0,2,YES,71440,0-500,46-50,medium
245,0,MALE,basketball,69100,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,23,3,NO,0,3,NO,44280,501-1000,41-45,medium
15,0,MALE,cross-fit,56700,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,21,3,YES,1,0,missing,67650,501-1000,31-35,high
250,0,FEMALE,polo,47900,-73400,Single Vehicle Collision,Side Collision,Minor Damage,Other,22,1,YES,1,3,NO,64900,501-1000,41-45,medium
219,0,FEMALE,polo,51300,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,1,1,missing,2,2,YES,66660,501-1000,41-45,medium
209,0,FEMALE,camping,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,17,3,missing,1,3,missing,65440,1501-2000,36-40,medium
182,0,FEMALE,movies,53800,-78300,Single Vehicle Collision,Side Collision,Total Loss,Police,18,1,missing,2,3,YES,89650,1501-2000,36-40,medium
267,0,MALE,base-jumping,35000,0,Parked Car,missing,Trivial Damage,None,3,1,YES,2,3,YES,4950,1501-2000,46-50,medium
160,0,FEMALE,exercise,61600,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,17,3,missing,2,3,YES,52800,501-1000,31-35,medium
129,0,MALE,base-jumping,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,23,1,missing,2,3,missing,44640,501-1000,26-30,medium
147,0,FEMALE,chess,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,11,3,missing,0,1,missing,56160,1501-2000,36-40,medium
93,0,MALE,basketball,65300,-65600,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,16,1,missing,1,1,missing,78120,1501-2000,31-35,high
26,0,MALE,sleeping,50700,-36300,Single Vehicle Collision,Side Collision,Major Damage,Police,10,1,NO,2,3,missing,63030,501-1000,41-45,medium
366,0,FEMALE,basketball,21200,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,5,3,YES,1,3,NO,70290,501-1000,46-50,high
335,0,FEMALE,chess,59900,-34800,Multi-vehicle Collision,Front Collision,Total Loss,Police,21,3,NO,0,0,YES,35860,1501-2000,46-50,medium
94,0,FEMALE,hiking,0,0,Parked Car,missing,Minor Damage,None,19,1,NO,1,3,NO,2400,501-1000,31-35,medium
293,0,FEMALE,skydiving,34900,0,Single Vehicle Collision,Front Collision,Total Loss,Police,19,1,missing,1,1,missing,57310,1501-2000,46-50,medium
255,0,FEMALE,bungie-jumping,38200,0,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,3,YES,0,3,NO,29300,0-500,36-40,medium
246,0,MALE,board-games,0,0,Parked Car,missing,Trivial Damage,None,13,1,NO,0,3,YES,7260,0-500,41-45,high
85,0,MALE,dancing,50400,-61500,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,14,4,YES,0,0,NO,59070,1501-2000,26-30,medium
39,0,FEMALE,polo,0,-15700,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,14,3,missing,1,0,NO,52700,1501-2000,31-35,medium
163,0,FEMALE,polo,35300,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,11,3,YES,1,1,missing,77110,0-500,31-35,medium
264,0,MALE,cross-fit,55600,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,4,1,NO,1,0,missing,60390,0-500,41-45,medium
233,0,MALE,reading,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,20,3,missing,1,0,YES,48870,1501-2000,36-40,high
79,0,FEMALE,paintball,53400,-35200,Single Vehicle Collision,Front Collision,Total Loss,Fire,0,1,NO,2,1,missing,67800,0-500,21-25,high
241,0,FEMALE,kayaking,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,23,3,missing,0,3,YES,77880,1501-2000,36-40,medium
342,0,FEMALE,dancing,0,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,12,1,missing,0,0,NO,80960,501-1000,51-55,medium
259,0,FEMALE,movies,0,-83900,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,12,3,NO,1,3,missing,46560,501-1000,36-40,medium
328,0,MALE,sleeping,53300,0,Single Vehicle Collision,Side Collision,Major Damage,Police,5,1,YES,1,2,YES,71610,501-1000,46-50,medium
140,0,FEMALE,cross-fit,0,-67000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,2,4,YES,0,2,YES,72800,1501-2000,36-40,low
321,6000000,MALE,hiking,0,-39100,Vehicle Theft,missing,Trivial Damage,Police,7,1,missing,1,2,NO,4680,1501-2000,41-45,medium
107,7000000,FEMALE,paintball,43400,-91200,Single Vehicle Collision,Side Collision,Minor Damage,Fire,12,1,YES,0,1,NO,89700,0-500,31-35,medium
437,0,FEMALE,cross-fit,48800,0,Single Vehicle Collision,Front Collision,Minor Damage,Other,10,1,NO,1,3,NO,84480,501-1000,56-60,medium
180,0,FEMALE,hiking,58100,-49000,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,12,4,missing,2,3,YES,57700,1501-2000,31-35,medium
116,0,MALE,golf,0,-35500,Multi-vehicle Collision,Front Collision,Major Damage,Other,8,3,NO,0,3,missing,59670,0-500,26-30,low
372,0,FEMALE,paintball,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,18,3,NO,2,2,YES,51800,1501-2000,46-50,medium
209,0,MALE,polo,67800,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,22,1,missing,1,1,NO,37800,0-500,36-40,medium
123,0,FEMALE,basketball,0,-54600,Single Vehicle Collision,Side Collision,Total Loss,Fire,13,1,missing,1,2,NO,72120,0-500,31-35,medium
214,7000000,FEMALE,kayaking,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,17,3,NO,0,3,missing,47080,1501-2000,36-40,low
175,5000000,MALE,hiking,0,-43600,Multi-vehicle Collision,Front Collision,Major Damage,Other,9,3,YES,2,2,YES,71610,0-500,36-40,medium
371,0,FEMALE,golf,60300,-24700,Single Vehicle Collision,Rear Collision,Major Damage,Fire,7,1,YES,0,3,YES,75400,501-1000,51-55,high
279,0,MALE,cross-fit,0,0,Single Vehicle Collision,Side Collision,Major Damage,Police,13,1,YES,0,1,NO,57690,1501-2000,41-45,medium
278,7000000,FEMALE,dancing,0,-54000,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,12,1,missing,2,0,missing,76050,1501-2000,46-50,medium
78,0,FEMALE,kayaking,72600,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,1,3,missing,2,1,missing,52290,501-1000,31-35,medium
246,0,MALE,reading,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,6,1,NO,1,0,NO,61740,501-1000,41-45,medium
193,0,FEMALE,movies,34200,-32300,Single Vehicle Collision,Side Collision,Minor Damage,Fire,6,1,NO,0,0,YES,63900,0-500,36-40,medium
255,6000000,FEMALE,chess,68500,0,Parked Car,missing,Trivial Damage,Police,7,1,missing,2,2,NO,6400,1501-2000,41-45,low
198,0,MALE,kayaking,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,11,3,missing,1,3,YES,49410,501-1000,36-40,medium
143,0,FEMALE,golf,79900,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,1,1,missing,2,0,NO,62260,501-1000,31-35,medium
269,4000000,FEMALE,chess,0,-41400,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,15,3,missing,0,1,missing,98670,0-500,41-45,medium
93,0,FEMALE,paintball,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,21,3,YES,1,3,NO,48070,1501-2000,31-35,medium
151,0,FEMALE,dancing,54000,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,0,1,YES,1,1,missing,38830,501-1000,36-40,high
246,0,MALE,base-jumping,0,-58600,Single Vehicle Collision,Front Collision,Major Damage,Other,18,1,YES,1,2,YES,61380,1501-2000,41-45,high
97,0,MALE,chess,0,-72100,Multi-vehicle Collision,Side Collision,Total Loss,Other,10,3,YES,2,3,NO,84920,501-1000,26-30,medium
207,0,MALE,yachting,55200,0,Parked Car,missing,Trivial Damage,None,9,1,NO,0,1,NO,5900,1501-2000,41-45,medium
390,0,MALE,reading,0,0,Vehicle Theft,missing,Minor Damage,None,9,1,YES,1,1,YES,7080,1501-2000,51-55,medium
46,4000000,FEMALE,yachting,46800,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,7,1,NO,2,0,missing,56600,1501-2000,21-25,high
229,0,FEMALE,base-jumping,0,-55400,Single Vehicle Collision,Rear Collision,Total Loss,Other,17,1,NO,0,2,YES,54560,501-1000,36-40,medium
270,0,FEMALE,golf,0,-19700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,18,3,NO,1,1,YES,89400,501-1000,41-45,medium
50,0,MALE,bungie-jumping,0,-65800,Multi-vehicle Collision,Front Collision,Total Loss,Police,15,3,missing,1,2,NO,61100,1501-2000,41-45,medium
7,0,MALE,camping,0,-45300,Single Vehicle Collision,Front Collision,Total Loss,Other,21,1,missing,1,2,missing,62460,501-1000,21-25,medium
112,0,FEMALE,exercise,60000,-54800,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,21,3,missing,0,1,missing,51000,0-500,26-30,low
91,0,FEMALE,video-games,52700,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,15,3,missing,0,2,missing,74200,501-1000,26-30,medium
194,0,FEMALE,board-games,67800,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,11,3,NO,1,2,YES,57200,0-500,31-35,medium
11,0,MALE,yachting,56600,-45800,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,22,1,YES,0,1,NO,65790,1501-2000,36-40,medium
40,4000000,FEMALE,hiking,0,-33300,Parked Car,missing,Minor Damage,Police,8,1,NO,0,2,missing,8760,501-1000,36-40,medium
2,0,FEMALE,golf,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,19,1,YES,0,2,YES,58140,501-1000,26-30,medium
162,0,FEMALE,chess,30700,0,Parked Car,missing,Minor Damage,None,7,1,missing,0,0,NO,3600,501-1000,31-35,medium
133,0,FEMALE,bungie-jumping,70900,-61100,Parked Car,missing,Minor Damage,None,8,1,NO,2,0,YES,4200,0-500,31-35,medium
79,0,MALE,kayaking,0,-55700,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,19,1,NO,2,2,missing,40000,0-500,26-30,medium
41,0,FEMALE,exercise,0,-56100,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,3,YES,2,0,missing,45120,501-1000,21-25,medium
359,0,FEMALE,basketball,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,13,1,NO,0,3,NO,55500,1501-2000,46-50,medium
297,0,FEMALE,kayaking,0,-54700,Single Vehicle Collision,Side Collision,Minor Damage,Fire,12,1,missing,0,0,missing,60600,501-1000,46-50,high
128,0,MALE,movies,43300,-66200,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,8,1,NO,0,3,NO,68530,501-1000,26-30,medium
257,0,MALE,basketball,59400,-32200,Single Vehicle Collision,Rear Collision,Total Loss,Other,21,1,NO,0,1,NO,46980,501-1000,41-45,medium
140,6000000,FEMALE,base-jumping,59000,0,Parked Car,missing,Minor Damage,None,2,1,YES,1,2,missing,6120,1501-2000,31-35,high
124,0,FEMALE,hiking,0,-43200,Multi-vehicle Collision,Front Collision,Total Loss,Other,19,3,NO,0,2,YES,73560,501-1000,31-35,medium
126,2000000,FEMALE,sleeping,36700,-73400,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,21,1,YES,1,2,missing,54160,501-1000,31-35,medium
295,0,FEMALE,paintball,52200,-44500,Vehicle Theft,missing,Minor Damage,None,10,1,YES,1,3,YES,4560,0-500,46-50,medium
164,0,FEMALE,yachting,44300,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,4,1,NO,1,3,YES,90000,1501-2000,36-40,medium
51,0,MALE,camping,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,23,1,missing,2,3,NO,64200,0-500,31-35,medium
55,8000000,MALE,polo,0,0,Vehicle Theft,missing,Minor Damage,Police,9,1,NO,0,3,NO,3080,0-500,31-35,medium
84,7000000,FEMALE,cross-fit,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Other,0,1,YES,0,2,missing,57240,0-500,31-35,high
270,0,FEMALE,paintball,47200,0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,20,3,missing,1,0,NO,35900,1501-2000,41-45,medium
381,0,FEMALE,chess,35900,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,8,1,YES,1,2,YES,60600,0-500,51-55,medium
102,0,MALE,reading,55200,0,Single Vehicle Collision,Side Collision,Total Loss,Police,6,1,NO,1,0,NO,73400,0-500,26-30,medium
168,0,FEMALE,exercise,0,-42600,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,23,3,YES,1,3,NO,41580,501-1000,36-40,medium
123,0,FEMALE,sleeping,16100,-61200,Multi-vehicle Collision,Side Collision,Total Loss,Fire,13,3,NO,1,1,missing,55260,1501-2000,31-35,medium
70,4000000,FEMALE,video-games,46000,0,Vehicle Theft,missing,Trivial Damage,Police,19,1,NO,2,3,missing,4400,501-1000,26-30,medium
180,0,FEMALE,board-games,41300,-55500,Single Vehicle Collision,Rear Collision,Total Loss,Police,12,1,NO,0,2,YES,46200,1501-2000,36-40,medium
72,0,FEMALE,exercise,0,-85900,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,9,1,missing,1,0,NO,66200,0-500,26-30,low
78,6000000,MALE,bungie-jumping,0,0,Vehicle Theft,missing,Minor Damage,Police,3,1,YES,2,2,NO,7500,501-1000,26-30,medium
298,0,MALE,camping,0,-71700,Multi-vehicle Collision,Side Collision,Major Damage,Other,16,3,NO,0,2,NO,69480,0-500,46-50,low
34,0,FEMALE,dancing,0,-27700,Parked Car,missing,Trivial Damage,None,20,1,YES,0,1,missing,3960,1501-2000,21-25,high
70,0,MALE,yachting,67200,-59400,Multi-vehicle Collision,Side Collision,Minor Damage,Police,14,4,NO,1,0,YES,31680,501-1000,26-30,medium
204,7000000,MALE,polo,44000,-20800,Single Vehicle Collision,Front Collision,Minor Damage,Police,6,1,missing,1,0,missing,53400,501-1000,36-40,high
31,9000000,FEMALE,kayaking,0,-78600,Parked Car,missing,Trivial Damage,None,9,1,NO,0,1,YES,4700,1501-2000,36-40,medium
291,0,FEMALE,polo,0,-55300,Parked Car,missing,Minor Damage,Police,8,1,NO,2,2,YES,5580,501-1000,46-50,low
107,0,FEMALE,skydiving,62800,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,14,3,missing,1,0,NO,59700,0-500,26-30,low
73,0,MALE,board-games,35100,-59900,Multi-vehicle Collision,Rear Collision,Total Loss,Other,15,3,YES,1,0,missing,44910,501-1000,26-30,medium
364,0,MALE,board-games,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Other,16,1,YES,2,1,NO,77330,0-500,51-55,medium
165,0,FEMALE,kayaking,35300,-58100,Parked Car,missing,Minor Damage,Police,3,1,NO,1,1,NO,2970,501-1000,31-35,medium
65,5000000,FEMALE,kayaking,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,21,3,YES,0,0,missing,62900,1501-2000,26-30,medium
242,6000000,MALE,polo,0,-57000,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,3,3,NO,0,1,missing,68090,1501-2000,41-45,medium
129,0,FEMALE,video-games,51500,0,Single Vehicle Collision,Front Collision,Total Loss,Other,7,1,NO,1,3,missing,74360,1501-2000,26-30,low
265,0,FEMALE,yachting,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,17,3,NO,2,3,missing,55120,501-1000,36-40,medium
272,5000000,MALE,chess,38600,-42800,Single Vehicle Collision,Front Collision,Minor Damage,Fire,23,1,NO,0,0,NO,84100,1501-2000,41-45,low
43,0,FEMALE,yachting,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,16,1,missing,2,1,missing,79970,0-500,41-45,medium
208,0,FEMALE,chess,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,18,1,NO,2,2,missing,69300,501-1000,41-45,medium
109,6000000,FEMALE,movies,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,17,3,NO,1,3,YES,91080,1501-2000,26-30,medium
189,0,FEMALE,movies,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,7,3,missing,2,0,YES,64400,1501-2000,36-40,low
447,0,FEMALE,skydiving,0,-51000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,21,3,YES,1,2,YES,114920,1501-2000,61-65,medium
142,5000000,FEMALE,cross-fit,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,11,1,YES,1,3,missing,81360,1501-2000,31-35,medium
86,0,MALE,hiking,75800,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,19,1,YES,0,2,YES,70920,1501-2000,26-30,high
85,9000000,FEMALE,paintball,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Other,1,2,NO,2,1,missing,74400,1501-2000,31-35,medium
437,0,MALE,dancing,66100,-31400,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,23,1,YES,0,0,NO,55800,1501-2000,56-60,medium
209,0,FEMALE,golf,58100,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,21,1,missing,1,1,missing,47300,0-500,36-40,medium
259,0,FEMALE,base-jumping,0,-39300,Vehicle Theft,missing,Trivial Damage,Police,15,1,NO,1,3,NO,7680,0-500,41-45,low
436,5000000,MALE,sleeping,47400,-27600,Single Vehicle Collision,Rear Collision,Major Damage,Police,10,1,missing,0,2,missing,59900,1501-2000,56-60,medium
258,0,MALE,reading,0,-44400,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,0,3,NO,2,3,NO,81240,0-500,41-45,medium
56,0,MALE,movies,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,10,3,missing,1,2,YES,94560,501-1000,26-30,high
200,3000000,FEMALE,basketball,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,10,1,missing,2,2,NO,56000,501-1000,31-35,low
297,7000000,MALE,movies,0,-59500,Multi-vehicle Collision,Side Collision,Total Loss,Fire,0,3,missing,0,3,YES,44400,0-500,46-50,high
100,6000000,MALE,golf,67300,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,4,1,NO,1,2,NO,40800,0-500,31-35,medium
133,0,MALE,board-games,0,-31700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,NO,1,2,missing,28440,501-1000,26-30,medium
293,0,FEMALE,exercise,51500,0,Multi-vehicle Collision,Front Collision,Total Loss,Fire,13,3,NO,1,1,NO,51210,501-1000,41-45,medium
8,4000000,FEMALE,kayaking,0,-88300,Multi-vehicle Collision,Front Collision,Major Damage,Fire,2,3,missing,0,2,YES,48100,0-500,31-35,medium
143,0,MALE,exercise,67900,0,Single Vehicle Collision,Front Collision,Minor Damage,Other,10,1,missing,2,3,YES,58500,0-500,31-35,medium
204,0,FEMALE,kayaking,0,-45100,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,5,1,NO,0,1,missing,90530,1501-2000,36-40,medium
371,7000000,FEMALE,paintball,0,-37100,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,2,2,YES,2,0,missing,88920,501-1000,51-55,medium
111,2000000,FEMALE,kayaking,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,1,1,missing,1,1,YES,52800,0-500,26-30,medium
166,8000000,MALE,reading,27500,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,10,3,NO,2,2,missing,67140,1501-2000,36-40,medium
182,0,MALE,skydiving,50000,-56900,Single Vehicle Collision,Front Collision,Total Loss,Other,13,1,YES,0,2,missing,71100,501-1000,36-40,medium
439,0,MALE,video-games,48900,-40900,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,9,1,NO,2,0,missing,50000,0-500,56-60,medium
56,0,MALE,exercise,0,-28800,Single Vehicle Collision,Rear Collision,Major Damage,Police,13,1,YES,1,2,YES,58500,0-500,36-40,high
105,0,FEMALE,kayaking,0,-40900,Single Vehicle Collision,Front Collision,Total Loss,Other,8,1,YES,0,1,missing,70290,0-500,31-35,medium
279,6000000,FEMALE,bungie-jumping,61100,-30700,Multi-vehicle Collision,Rear Collision,Major Damage,Other,21,3,missing,1,0,missing,61050,1501-2000,41-45,medium
222,0,MALE,camping,49600,-49200,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,17,2,YES,2,0,missing,81500,501-1000,36-40,medium
259,0,MALE,movies,30100,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,23,1,missing,1,1,NO,87780,1501-2000,41-45,medium
257,0,FEMALE,kayaking,52100,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,0,1,NO,0,1,YES,85320,501-1000,41-45,low
107,0,FEMALE,bungie-jumping,62000,-63100,Single Vehicle Collision,Rear Collision,Minor Damage,Police,16,1,NO,0,3,NO,51260,1501-2000,31-35,medium
144,0,FEMALE,sleeping,73700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,17,3,YES,1,3,NO,54400,1501-2000,36-40,high
127,0,MALE,reading,58200,0,Parked Car,missing,Minor Damage,None,10,1,YES,1,0,NO,6160,0-500,31-35,medium
278,0,MALE,sleeping,0,-39800,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,21,1,NO,2,2,YES,58500,0-500,46-50,medium
80,5000000,FEMALE,exercise,67700,-58400,Vehicle Theft,missing,Minor Damage,None,5,1,NO,2,0,YES,6930,1501-2000,21-25,medium
156,0,MALE,reading,0,0,Single Vehicle Collision,Front Collision,Major Damage,Police,3,1,missing,2,0,missing,59000,1501-2000,31-35,medium
140,0,FEMALE,chess,0,-42900,Parked Car,missing,Trivial Damage,None,5,1,missing,0,2,YES,2860,501-1000,31-35,high
322,0,FEMALE,cross-fit,49900,-62700,Multi-vehicle Collision,Side Collision,Major Damage,Fire,20,3,YES,0,3,missing,49400,501-1000,41-45,medium
102,3000000,MALE,chess,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,11,1,NO,1,0,NO,47400,0-500,31-35,high
246,0,FEMALE,yachting,0,-36600,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,16,1,YES,0,3,missing,45180,501-1000,36-40,medium
279,0,FEMALE,bungie-jumping,37300,-31700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,16,3,missing,2,3,NO,28800,0-500,41-45,medium
119,0,MALE,bungie-jumping,0,-49500,Single Vehicle Collision,Side Collision,Minor Damage,Other,12,1,NO,0,3,YES,56300,501-1000,31-35,low
241,0,MALE,kayaking,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,NO,1,2,missing,19080,1501-2000,36-40,medium
270,0,MALE,cross-fit,62200,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,17,3,missing,1,1,NO,60190,501-1000,41-45,low
190,5000000,FEMALE,golf,0,0,Parked Car,missing,Trivial Damage,None,4,1,NO,0,1,NO,3840,0-500,31-35,medium
296,7000000,MALE,sleeping,0,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,18,1,missing,0,2,NO,54900,501-1000,46-50,medium
276,0,FEMALE,reading,44500,-61400,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,11,3,missing,0,2,missing,69300,0-500,41-45,low
9,0,FEMALE,golf,51700,-33300,Vehicle Theft,missing,Trivial Damage,None,6,1,NO,0,3,YES,5940,1501-2000,21-25,medium
61,4000000,FEMALE,exercise,0,-62400,Single Vehicle Collision,Side Collision,Major Damage,Police,14,1,NO,0,3,missing,98340,1501-2000,21-25,medium
108,6000000,FEMALE,base-jumping,52800,-54300,Parked Car,missing,Minor Damage,None,5,1,NO,1,3,NO,4290,1501-2000,31-35,medium
98,0,MALE,kayaking,0,-30900,Multi-vehicle Collision,Front Collision,Total Loss,Police,13,2,missing,0,1,YES,65430,1501-2000,26-30,medium
186,0,FEMALE,video-games,39300,-60300,Multi-vehicle Collision,Front Collision,Total Loss,Police,23,3,YES,2,2,missing,68760,1501-2000,36-40,medium
153,0,MALE,paintball,45600,-61400,Multi-vehicle Collision,Side Collision,Total Loss,Other,0,3,missing,1,0,NO,77770,0-500,31-35,low
114,0,FEMALE,dancing,0,-34700,Vehicle Theft,missing,Minor Damage,None,3,1,NO,0,3,YES,4680,501-1000,26-30,medium
247,0,FEMALE,camping,64000,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,22,3,NO,2,2,NO,69480,1501-2000,41-45,medium
257,6000000,FEMALE,base-jumping,46400,-74300,Single Vehicle Collision,Front Collision,Total Loss,Other,12,1,missing,2,2,YES,63240,1501-2000,41-45,low
20,0,FEMALE,polo,0,-41200,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,14,1,NO,0,0,missing,62900,501-1000,21-25,medium
212,0,FEMALE,golf,73200,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,17,3,YES,0,2,YES,82400,501-1000,36-40,high
241,0,FEMALE,basketball,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,5,1,NO,2,2,NO,91650,1501-2000,41-45,medium
195,0,MALE,movies,47600,-39600,Parked Car,missing,Minor Damage,Police,5,1,NO,0,1,YES,2640,501-1000,36-40,medium
294,0,MALE,exercise,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,8,1,NO,0,3,YES,65780,0-500,46-50,high
