months_as_customer,policy_annual_premium,umbrella_limit,insured_sex,insured_hobbies,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,policy_deductable_groups,age_groups
3,1310.8,0,FEMALE,paintball,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,20,1,YES,0,1,missing,87200,501-1000,36-40
290,1085.03,0,FEMALE,cross-fit,0,-61000,Multi-vehicle Collision,Side Collision,Total Loss,Police,23,3,YES,2,2,NO,64800,0-500,41-45
162,964.92,0,FEMALE,base-jumping,45700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,17,4,NO,2,1,NO,35300,0-500,31-35
322,1277.12,0,FEMALE,kayaking,0,-46000,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,18,1,missing,0,2,YES,42240,1501-2000,46-50
192,1405.99,0,FEMALE,yachting,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,18,3,YES,1,0,YES,42930,501-1000,36-40
328,1314.6,0,FEMALE,exercise,24800,0,Single Vehicle Collision,Rear Collision,Total Loss,Other,0,1,missing,2,3,missing,70290,0-500,46-50
316,1290.74,5000000,FEMALE,kayaking,58300,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,6,3,NO,2,0,YES,78870,1501-2000,41-45
394,1401.2,0,FEMALE,movies,51500,0,Vehicle Theft,missing,Trivial Damage,Police,9,1,NO,1,0,NO,6890,0-500,56-60
140,1363.59,0,FEMALE,kayaking,43200,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,10,3,missing,2,0,YES,79500,0-500,36-40
261,1337.56,0,FEMALE,video-games,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,18,1,missing,1,2,YES,74700,0-500,41-45
61,1111.72,0,MALE,bungie-jumping,54600,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,6,1,missing,1,2,missing,41850,0-500,21-25
245,1361.45,0,MALE,camping,39300,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,12,1,YES,0,2,YES,82170,501-1000,36-40
287,1230.69,0,MALE,golf,0,-54600,Single Vehicle Collision,Front Collision,Minor Damage,Fire,19,1,NO,0,2,NO,53800,501-1000,41-45
125,1054.83,7000000,MALE,cross-fit,0,-51300,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,YES,2,3,NO,88660,0-500,31-35
163,1004.63,6000000,MALE,hiking,26900,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,14,3,YES,2,0,NO,63910,501-1000,31-35
130,1003.15,0,FEMALE,movies,0,-38500,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,21,2,YES,2,1,NO,85020,501-1000,26-30
175,1185.44,0,MALE,kayaking,44900,-52500,Multi-vehicle Collision,Rear Collision,Major Damage,Police,15,3,YES,2,1,YES,42680,0-500,36-40
271,1340.71,0,FEMALE,base-jumping,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,16,1,NO,2,2,NO,76230,0-500,41-45
328,1434.51,0,FEMALE,bungie-jumping,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,19,1,missing,0,2,YES,71440,0-500,46-50
245,1168.2,0,MALE,basketball,69100,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,23,3,NO,0,3,NO,44280,501-1000,41-45
15,1829.63,0,MALE,cross-fit,56700,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,21,3,YES,1,0,missing,67650,501-1000,31-35
250,1243.84,0,FEMALE,polo,47900,-73400,Single Vehicle Collision,Side Collision,Minor Damage,Other,22,1,YES,1,3,NO,64900,501-1000,41-45
219,1114.29,0,FEMALE,polo,51300,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,1,1,missing,2,2,YES,66660,501-1000,41-45
209,1223.39,0,FEMALE,camping,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,17,3,missing,1,3,missing,65440,1501-2000,36-40
182,1441.06,0,FEMALE,movies,53800,-78300,Single Vehicle Collision,Side Collision,Total Loss,Police,18,1,missing,2,3,YES,89650,1501-2000,36-40
267,1111.17,0,MALE,base-jumping,35000,0,Parked Car,missing,Trivial Damage,None,3,1,YES,2,3,YES,4950,1501-2000,46-50
160,1422.78,0,FEMALE,exercise,61600,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,17,3,missing,2,3,YES,52800,501-1000,31-35
129,1377.94,0,MALE,base-jumping,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,23,1,missing,2,3,missing,44640,501-1000,26-30
147,1375.29,0,FEMALE,chess,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,11,3,missing,0,1,missing,56160,1501-2000,36-40
93,1624.82,0,MALE,basketball,65300,-65600,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,16,1,missing,1,1,missing,78120,1501-2000,31-35
26,1484.48,0,MALE,sleeping,50700,-36300,Single Vehicle Collision,Side Collision,Major Damage,Police,10,1,NO,2,3,missing,63030,501-1000,41-45
366,1561.41,0,FEMALE,basketball,21200,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,5,3,YES,1,3,NO,70290,501-1000,46-50
335,1017.97,0,FEMALE,chess,59900,-34800,Multi-vehicle Collision,Front Collision,Total Loss,Police,21,3,NO,0,0,YES,35860,1501-2000,46-50
94,1414.74,0,FEMALE,hiking,0,0,Parked Car,missing,Minor Damage,None,19,1,NO,1,3,NO,2400,501-1000,31-35
293,1239.06,0,FEMALE,skydiving,34900,0,Single Vehicle Collision,Front Collision,Total Loss,Police,19,1,missing,1,1,missing,57310,1501-2000,46-50
255,1453.95,0,FEMALE,bungie-jumping,38200,0,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,3,YES,0,3,NO,29300,0-500,36-40
246,1594.37,0,MALE,board-games,0,0,Parked Car,missing,Trivial Damage,None,13,1,NO,0,3,YES,7260,0-500,41-45
85,1174.14,0,MALE,dancing,50400,-61500,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,14,4,YES,0,0,NO,59070,1501-2000,26-30
39,1366.9,0,FEMALE,polo,0,-15700,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,14,3,missing,1,0,NO,52700,1501-2000,31-35
163,1240.47,0,FEMALE,polo,35300,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,11,3,YES,1,1,missing,77110,0-500,31-35
264,1411.3,0,MALE,cross-fit,55600,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,4,1,NO,1,0,missing,60390,0-500,41-45
233,1524.18,0,MALE,reading,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,20,3,missing,1,0,YES,48870,1501-2000,36-40
79,1863.04,0,FEMALE,paintball,53400,-35200,Single Vehicle Collision,Front Collision,Total Loss,Fire,0,1,NO,2,1,missing,67800,0-500,21-25
241,1003.23,0,FEMALE,kayaking,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,23,3,missing,0,3,YES,77880,1501-2000,36-40
342,1028.44,0,FEMALE,dancing,0,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,12,1,missing,0,0,NO,80960,501-1000,51-55
259,1422.36,0,FEMALE,movies,0,-83900,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,12,3,NO,1,3,missing,46560,501-1000,36-40
328,1406.91,0,MALE,sleeping,53300,0,Single Vehicle Collision,Side Collision,Major Damage,Police,5,1,YES,1,2,YES,71610,501-1000,46-50
140,979.26,0,FEMALE,cross-fit,0,-67000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,2,4,YES,0,2,YES,72800,1501-2000,36-40
321,1344.56,6000000,MALE,hiking,0,-39100,Vehicle Theft,missing,Trivial Damage,Police,7,1,missing,1,2,NO,4680,1501-2000,41-45
107,1239.22,7000000,FEMALE,paintball,43400,-91200,Single Vehicle Collision,Side Collision,Minor Damage,Fire,12,1,YES,0,1,NO,89700,0-500,31-35
437,1269.64,0,FEMALE,cross-fit,48800,0,Single Vehicle Collision,Front Collision,Minor Damage,Other,10,1,NO,1,3,NO,84480,501-1000,56-60
180,1005.47,0,FEMALE,hiking,58100,-49000,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,12,4,missing,2,3,YES,57700,1501-2000,31-35
116,951.46,0,MALE,golf,0,-35500,Multi-vehicle Collision,Front Collision,Major Damage,Other,8,3,NO,0,3,missing,59670,0-500,26-30
372,1368.57,0,FEMALE,paintball,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,18,3,NO,2,2,YES,51800,1501-2000,46-50
209,1264.99,0,MALE,polo,67800,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,22,1,missing,1,1,NO,37800,0-500,36-40
123,1326.0,0,FEMALE,basketball,0,-54600,Single Vehicle Collision,Side Collision,Total Loss,Fire,13,1,missing,1,2,NO,72120,0-500,31-35
214,987.42,7000000,FEMALE,kayaking,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,17,3,NO,0,3,missing,47080,1501-2000,36-40
175,1359.36,5000000,MALE,hiking,0,-43600,Multi-vehicle Collision,Front Collision,Major Damage,Other,9,3,YES,2,2,YES,71610,0-500,36-40
371,1532.47,0,FEMALE,golf,60300,-24700,Single Vehicle Collision,Rear Collision,Major Damage,Fire,7,1,YES,0,3,YES,75400,501-1000,51-55
279,1281.25,0,MALE,cross-fit,0,0,Single Vehicle Collision,Side Collision,Major Damage,Police,13,1,YES,0,1,NO,57690,1501-2000,41-45
278,1142.62,7000000,FEMALE,dancing,0,-54000,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,12,1,missing,2,0,missing,76050,1501-2000,46-50
78,1377.23,0,FEMALE,kayaking,72600,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,1,3,missing,2,1,missing,52290,501-1000,31-35
246,1397.0,0,MALE,reading,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,6,1,NO,1,0,NO,61740,501-1000,41-45
193,1155.38,0,FEMALE,movies,34200,-32300,Single Vehicle Collision,Side Collision,Minor Damage,Fire,6,1,NO,0,0,YES,63900,0-500,36-40
255,814.96,6000000,FEMALE,chess,68500,0,Parked Car,missing,Trivial Damage,Police,7,1,missing,2,2,NO,6400,1501-2000,41-45
198,1096.39,0,MALE,kayaking,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,11,3,missing,1,3,YES,49410,501-1000,36-40
143,1464.42,0,FEMALE,golf,79900,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,1,1,missing,2,0,NO,62260,501-1000,31-35
269,1297.75,4000000,FEMALE,chess,0,-41400,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,15,3,missing,0,1,missing,98670,0-500,41-45
93,1017.18,0,FEMALE,paintball,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,21,3,YES,1,3,NO,48070,1501-2000,31-35
151,1728.56,0,FEMALE,dancing,54000,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,0,1,YES,1,1,missing,38830,501-1000,36-40
246,1649.18,0,MALE,base-jumping,0,-58600,Single Vehicle Collision,Front Collision,Major Damage,Other,18,1,YES,1,2,YES,61380,1501-2000,41-45
97,1270.55,0,MALE,chess,0,-72100,Multi-vehicle Collision,Side Collision,Total Loss,Other,10,3,YES,2,3,NO,84920,501-1000,26-30
207,1322.78,0,MALE,yachting,55200,0,Parked Car,missing,Trivial Damage,None,9,1,NO,0,1,NO,5900,1501-2000,41-45
390,1124.38,0,MALE,reading,0,0,Vehicle Theft,missing,Minor Damage,None,9,1,YES,1,1,YES,7080,1501-2000,51-55
46,1568.47,4000000,FEMALE,yachting,46800,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,7,1,NO,2,0,missing,56600,1501-2000,21-25
229,1331.94,0,FEMALE,base-jumping,0,-55400,Single Vehicle Collision,Rear Collision,Total Loss,Other,17,1,NO,0,2,YES,54560,501-1000,36-40
270,1038.09,0,FEMALE,golf,0,-19700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,18,3,NO,1,1,YES,89400,501-1000,41-45
50,1188.51,0,MALE,bungie-jumping,0,-65800,Multi-vehicle Collision,Front Collision,Total Loss,Police,15,3,missing,1,2,NO,61100,1501-2000,41-45
7,1342.72,0,MALE,camping,0,-45300,Single Vehicle Collision,Front Collision,Total Loss,Other,21,1,missing,1,2,missing,62460,501-1000,21-25
112,965.13,0,FEMALE,exercise,60000,-54800,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,21,3,missing,0,1,missing,51000,0-500,26-30
91,1022.46,0,FEMALE,video-games,52700,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,15,3,missing,0,2,missing,74200,501-1000,26-30
194,1429.96,0,FEMALE,board-games,67800,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,11,3,NO,1,2,YES,57200,0-500,31-35
11,1470.06,0,MALE,yachting,56600,-45800,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,22,1,YES,0,1,NO,65790,1501-2000,36-40
40,1248.25,4000000,FEMALE,hiking,0,-33300,Parked Car,missing,Minor Damage,Police,8,1,NO,0,2,missing,8760,501-1000,36-40
2,1340.56,0,FEMALE,golf,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,19,1,YES,0,2,YES,58140,501-1000,26-30
162,1050.24,0,FEMALE,chess,30700,0,Parked Car,missing,Minor Damage,None,7,1,missing,0,0,NO,3600,501-1000,31-35
133,1074.07,0,FEMALE,bungie-jumping,70900,-61100,Parked Car,missing,Minor Damage,None,8,1,NO,2,0,YES,4200,0-500,31-35
79,1451.62,0,MALE,kayaking,0,-55700,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,19,1,NO,2,2,missing,40000,0-500,26-30
41,1226.83,0,FEMALE,exercise,0,-56100,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,3,YES,2,0,missing,45120,501-1000,21-25
359,1367.68,0,FEMALE,basketball,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,13,1,NO,0,3,NO,55500,1501-2000,46-50
297,1538.6,0,FEMALE,kayaking,0,-54700,Single Vehicle Collision,Side Collision,Minor Damage,Fire,12,1,missing,0,0,missing,60600,501-1000,46-50
128,1061.33,0,MALE,movies,43300,-66200,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,8,1,NO,0,3,NO,68530,501-1000,26-30
257,1280.88,0,MALE,basketball,59400,-32200,Single Vehicle Collision,Rear Collision,Total Loss,Other,21,1,NO,0,1,NO,46980,501-1000,41-45
140,1554.86,6000000,FEMALE,base-jumping,59000,0,Parked Car,missing,Minor Damage,None,2,1,YES,1,2,missing,6120,1501-2000,31-35
124,1198.15,0,FEMALE,hiking,0,-43200,Multi-vehicle Collision,Front Collision,Total Loss,Other,19,3,NO,0,2,YES,73560,501-1000,31-35
126,1141.71,2000000,FEMALE,sleeping,36700,-73400,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,21,1,YES,1,2,missing,54160,501-1000,31-35
295,1265.84,0,FEMALE,paintball,52200,-44500,Vehicle Theft,missing,Minor Damage,None,10,1,YES,1,3,YES,4560,0-500,46-50
164,1269.76,0,FEMALE,yachting,44300,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,4,1,NO,1,3,YES,90000,1501-2000,36-40
51,1430.8,0,MALE,camping,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,23,1,missing,2,3,NO,64200,0-500,31-35
55,1198.44,8000000,MALE,polo,0,0,Vehicle Theft,missing,Minor Damage,Police,9,1,NO,0,3,NO,3080,0-500,31-35
84,1694.09,7000000,FEMALE,cross-fit,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Other,0,1,YES,0,2,missing,57240,0-500,31-35
270,1030.95,0,FEMALE,paintball,47200,0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,20,3,missing,1,0,NO,35900,1501-2000,41-45
381,1459.99,0,FEMALE,chess,35900,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,8,1,YES,1,2,YES,60600,0-500,51-55
102,1075.41,0,MALE,reading,55200,0,Single Vehicle Collision,Side Collision,Total Loss,Police,6,1,NO,1,0,NO,73400,0-500,26-30
168,1389.59,0,FEMALE,exercise,0,-42600,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,23,3,YES,1,3,NO,41580,501-1000,36-40
123,1270.21,0,FEMALE,sleeping,16100,-61200,Multi-vehicle Collision,Side Collision,Total Loss,Fire,13,3,NO,1,1,missing,55260,1501-2000,31-35
70,1008.79,4000000,FEMALE,video-games,46000,0,Vehicle Theft,missing,Trivial Damage,Police,19,1,NO,2,3,missing,4400,501-1000,26-30
180,1301.13,0,FEMALE,board-games,41300,-55500,Single Vehicle Collision,Rear Collision,Total Loss,Police,12,1,NO,0,2,YES,46200,1501-2000,36-40
72,973.8,0,FEMALE,exercise,0,-85900,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,9,1,missing,1,0,NO,66200,0-500,26-30
78,1234.2,6000000,MALE,bungie-jumping,0,0,Vehicle Theft,missing,Minor Damage,Police,3,1,YES,2,2,NO,7500,501-1000,26-30
298,862.92,0,MALE,camping,0,-71700,Multi-vehicle Collision,Side Collision,Major Damage,Other,16,3,NO,0,2,NO,69480,0-500,46-50
34,1550.53,0,FEMALE,dancing,0,-27700,Parked Car,missing,Trivial Damage,None,20,1,YES,0,1,missing,3960,1501-2000,21-25
70,1319.81,0,MALE,yachting,67200,-59400,Multi-vehicle Collision,Side Collision,Minor Damage,Police,14,4,NO,1,0,YES,31680,501-1000,26-30
204,1693.83,7000000,MALE,polo,44000,-20800,Single Vehicle Collision,Front Collision,Minor Damage,Police,6,1,missing,1,0,missing,53400,501-1000,36-40
31,1318.24,9000000,FEMALE,kayaking,0,-78600,Parked Car,missing,Trivial Damage,None,9,1,NO,0,1,YES,4700,1501-2000,36-40
291,994.74,0,FEMALE,polo,0,-55300,Parked Car,missing,Minor Damage,Police,8,1,NO,2,2,YES,5580,501-1000,46-50
107,974.59,0,FEMALE,skydiving,62800,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,14,3,missing,1,0,NO,59700,0-500,26-30
73,1447.78,0,MALE,board-games,35100,-59900,Multi-vehicle Collision,Rear Collision,Total Loss,Other,15,3,YES,1,0,missing,44910,501-1000,26-30
364,1268.35,0,MALE,board-games,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Other,16,1,YES,2,1,NO,77330,0-500,51-55
165,1427.14,0,FEMALE,kayaking,35300,-58100,Parked Car,missing,Minor Damage,Police,3,1,NO,1,1,NO,2970,501-1000,31-35
65,1441.6,5000000,FEMALE,kayaking,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,21,3,YES,0,0,missing,62900,1501-2000,26-30
242,1153.54,6000000,MALE,polo,0,-57000,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,3,3,NO,0,1,missing,68090,1501-2000,41-45
129,927.23,0,FEMALE,video-games,51500,0,Single Vehicle Collision,Front Collision,Total Loss,Other,7,1,NO,1,3,missing,74360,1501-2000,26-30
265,1454.43,0,FEMALE,yachting,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,17,3,NO,2,3,missing,55120,501-1000,36-40
272,945.73,5000000,MALE,chess,38600,-42800,Single Vehicle Collision,Front Collision,Minor Damage,Fire,23,1,NO,0,0,NO,84100,1501-2000,41-45
43,1320.39,0,FEMALE,yachting,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,16,1,missing,2,1,missing,79970,0-500,41-45
208,1134.68,0,FEMALE,chess,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,18,1,NO,2,2,missing,69300,501-1000,41-45
109,1007.28,6000000,FEMALE,movies,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,17,3,NO,1,3,YES,91080,1501-2000,26-30
189,838.02,0,FEMALE,movies,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,7,3,missing,2,0,YES,64400,1501-2000,36-40
447,1137.16,0,FEMALE,skydiving,0,-51000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,21,3,YES,1,2,YES,114920,1501-2000,61-65
142,1362.64,5000000,FEMALE,cross-fit,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,11,1,YES,1,3,missing,81360,1501-2000,31-35
86,1595.07,0,MALE,hiking,75800,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,19,1,YES,0,2,YES,70920,1501-2000,26-30
85,1234.69,9000000,FEMALE,paintball,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Other,1,2,NO,2,1,missing,74400,1501-2000,31-35
437,1192.04,0,MALE,dancing,66100,-31400,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,23,1,YES,0,0,NO,55800,1501-2000,56-60
209,1355.08,0,FEMALE,golf,58100,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,21,1,missing,1,1,missing,47300,0-500,36-40
259,947.75,0,FEMALE,base-jumping,0,-39300,Vehicle Theft,missing,Trivial Damage,Police,15,1,NO,1,3,NO,7680,0-500,41-45
436,1407.01,5000000,MALE,sleeping,47400,-27600,Single Vehicle Collision,Rear Collision,Major Damage,Police,10,1,missing,0,2,missing,59900,1501-2000,56-60
258,1042.25,0,MALE,reading,0,-44400,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,0,3,NO,2,3,NO,81240,0-500,41-45
56,1523.17,0,MALE,movies,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,10,3,missing,1,2,YES,94560,501-1000,26-30
200,828.42,3000000,FEMALE,basketball,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,10,1,missing,2,2,NO,56000,501-1000,31-35
297,1616.65,7000000,MALE,movies,0,-59500,Multi-vehicle Collision,Side Collision,Total Loss,Fire,0,3,missing,0,3,YES,44400,0-500,46-50
100,1124.59,6000000,MALE,golf,67300,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,4,1,NO,1,2,NO,40800,0-500,31-35
133,1231.01,0,MALE,board-games,0,-31700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,NO,1,2,missing,28440,501-1000,26-30
293,1119.23,0,FEMALE,exercise,51500,0,Multi-vehicle Collision,Front Collision,Total Loss,Fire,13,3,NO,1,1,NO,51210,501-1000,41-45
8,1229.16,4000000,FEMALE,kayaking,0,-88300,Multi-vehicle Collision,Front Collision,Major Damage,Fire,2,3,missing,0,2,YES,48100,0-500,31-35
143,1442.27,0,MALE,exercise,67900,0,Single Vehicle Collision,Front Collision,Minor Damage,Other,10,1,missing,2,3,YES,58500,0-500,31-35
204,1124.47,0,FEMALE,kayaking,0,-45100,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,5,1,NO,0,1,missing,90530,1501-2000,36-40
371,1242.96,7000000,FEMALE,paintball,0,-37100,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,2,2,YES,2,0,missing,88920,501-1000,51-55
111,1239.55,2000000,FEMALE,kayaking,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,1,1,missing,1,1,YES,52800,0-500,26-30
166,1337.28,8000000,MALE,reading,27500,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,10,3,NO,2,2,missing,67140,1501-2000,36-40
182,1022.42,0,MALE,skydiving,50000,-56900,Single Vehicle Collision,Front Collision,Total Loss,Other,13,1,YES,0,2,missing,71100,501-1000,36-40
439,1280.9,0,MALE,video-games,48900,-40900,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,9,1,NO,2,0,missing,50000,0-500,56-60
56,1533.07,0,MALE,exercise,0,-28800,Single Vehicle Collision,Rear Collision,Major Damage,Police,13,1,YES,1,2,YES,58500,0-500,36-40
105,1310.76,0,FEMALE,kayaking,0,-40900,Single Vehicle Collision,Front Collision,Total Loss,Other,8,1,YES,0,1,missing,70290,0-500,31-35
279,1333.97,6000000,FEMALE,bungie-jumping,61100,-30700,Multi-vehicle Collision,Rear Collision,Major Damage,Other,21,3,missing,1,0,missing,61050,1501-2000,41-45
222,1226.78,0,MALE,camping,49600,-49200,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,17,2,YES,2,0,missing,81500,501-1000,36-40
259,1175.07,0,MALE,movies,30100,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,23,1,missing,1,1,NO,87780,1501-2000,41-45
257,974.84,0,FEMALE,kayaking,52100,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,0,1,NO,0,1,YES,85320,501-1000,41-45
107,1374.22,0,FEMALE,bungie-jumping,62000,-63100,Single Vehicle Collision,Rear Collision,Minor Damage,Police,16,1,NO,0,3,NO,51260,1501-2000,31-35
144,1896.91,0,FEMALE,sleeping,73700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,17,3,YES,1,3,NO,54400,1501-2000,36-40
127,1255.02,0,MALE,reading,58200,0,Parked Car,missing,Minor Damage,None,10,1,YES,1,0,NO,6160,0-500,31-35
278,1285.01,0,MALE,sleeping,0,-39800,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,21,1,NO,2,2,YES,58500,0-500,46-50
80,1075.18,5000000,FEMALE,exercise,67700,-58400,Vehicle Theft,missing,Minor Damage,None,5,1,NO,2,0,YES,6930,1501-2000,21-25
156,1134.08,0,MALE,reading,0,0,Single Vehicle Collision,Front Collision,Major Damage,Police,3,1,missing,2,0,missing,59000,1501-2000,31-35
140,1520.78,0,FEMALE,chess,0,-42900,Parked Car,missing,Trivial Damage,None,5,1,missing,0,2,YES,2860,501-1000,31-35
322,1156.19,0,FEMALE,cross-fit,49900,-62700,Multi-vehicle Collision,Side Collision,Major Damage,Fire,20,3,YES,0,3,missing,49400,501-1000,41-45
102,1537.07,3000000,MALE,chess,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,11,1,NO,1,0,NO,47400,0-500,31-35
246,1416.08,0,FEMALE,yachting,0,-36600,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,16,1,YES,0,3,missing,45180,501-1000,36-40
279,1497.35,0,FEMALE,bungie-jumping,37300,-31700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,16,3,missing,2,3,NO,28800,0-500,41-45
119,993.51,0,MALE,bungie-jumping,0,-49500,Single Vehicle Collision,Side Collision,Minor Damage,Other,12,1,NO,0,3,YES,56300,501-1000,31-35
241,1042.26,0,MALE,kayaking,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,NO,1,2,missing,19080,1501-2000,36-40
270,817.28,0,MALE,cross-fit,62200,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,17,3,missing,1,1,NO,60190,501-1000,41-45
190,1484.72,5000000,FEMALE,golf,0,0,Parked Car,missing,Trivial Damage,None,4,1,NO,0,1,NO,3840,0-500,31-35
296,1141.35,7000000,MALE,sleeping,0,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,18,1,missing,0,2,NO,54900,501-1000,46-50
276,948.1,0,FEMALE,reading,44500,-61400,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,11,3,missing,0,2,missing,69300,0-500,41-45
9,1304.46,0,FEMALE,golf,51700,-33300,Vehicle Theft,missing,Trivial Damage,None,6,1,NO,0,3,YES,5940,1501-2000,21-25
61,1136.83,4000000,FEMALE,exercise,0,-62400,Single Vehicle Collision,Side Collision,Major Damage,Police,14,1,NO,0,3,missing,98340,1501-2000,21-25
108,1112.04,6000000,FEMALE,base-jumping,52800,-54300,Parked Car,missing,Minor Damage,None,5,1,NO,1,3,NO,4290,1501-2000,31-35
98,1082.1,0,MALE,kayaking,0,-30900,Multi-vehicle Collision,Front Collision,Total Loss,Police,13,2,missing,0,1,YES,65430,1501-2000,26-30
